region.centroid.col,region.centroid.row,short.line.density.5,vedge.mean,vegde.sd,hedge.mean,hedge.sd,intensity.mean,exred.mean,exblue.mean,exgreen.mean,saturation.mean,hue.mean,binaryClass
194,72,0.0,1.0,0.399998,1.16667,1.14444,93.4444,-42.6667,71.0,-28.3333,0.323421,-2.22578,N
86,88,0.111111,2.05556,1.88518,1.72222,3.39629,21.1481,0.888889,15.5556,-16.4444,0.405118,-1.51256,P
71,180,0.111111,1.22222,0.562963,3.0,1.86666,22.3333,-12.0,-2.66667,14.6667,0.327383,2.45383,N
127,120,0.111111,1.66667,0.844445,3.22222,4.02963,23.6667,-4.66667,20.3333,-15.6667,0.394863,-1.76489,P
140,124,0.0,1.0,0.444445,1.11111,1.05185,2.51852,-6.88889,10.7778,-3.88889,0.973765,-2.26746,N
48,81,0.0,0.611111,0.240743,0.888891,0.429629,112.926,-21.7778,47.8889,-26.1111,0.19308,-2.03349,N
14,138,0.0,0.5,0.122222,0.5,0.077778,4.96296,5.44444,1.44444,-6.88889,0.603836,-0.722894,P
97,130,0.0,0.722222,0.507407,1.05556,0.685185,5.85185,4.44444,3.11111,-7.55556,0.570106,-0.963048,P
110,182,0.0,2.38889,1.79402,2.55556,1.55873,46.3704,-11.1111,29.8889,-18.7778,0.287646,-1.93005,N
245,238,0.111111,1.66667,2.53859,2.33333,2.4404,8.92593,-7.77778,-7.11111,14.8889,0.597015,2.12606,N
82,138,0.0,0.888889,0.518518,0.888889,0.385185,1.40741,-4.22222,7.11111,-2.88889,1.0,-2.17396,N
132,84,0.0,3.0,1.22927,0.888889,0.45542,8.88889,-4.66667,8.66667,-4.0,0.380483,-2.13694,N
235,196,0.0,1.66667,1.33333,2.22222,1.14827,47.2593,-16.4444,33.8889,-17.4444,0.294238,-2.07462,N
147,87,0.0,6.83333,6.61899,1.55556,1.69531,43.3333,-16.3333,34.6667,-18.3333,0.319706,-2.05039,N
4,210,0.0,4.72222,4.01894,5.72222,2.18497,49.7407,-16.5556,37.4444,-20.8889,0.314278,-2.01443,N
98,41,0.0,1.72223,0.774073,1.11111,0.874068,137.148,-19.4444,30.2222,-10.7778,0.112421,-2.26853,N
222,114,0.0,0.277778,0.062963,0.444444,0.074074,5.44444,2.0,5.66667,-7.66667,0.603175,-1.31453,P
122,123,0.0,0.611111,0.374074,0.5,0.211111,1.18519,-3.55556,6.44444,-2.88889,1.0,-2.14267,N
129,157,0.0,2.44444,3.54074,2.22222,1.71852,23.1481,-14.7778,26.5556,-11.7778,0.430239,-2.16937,N
140,161,0.0,0.277778,0.327731,0.777778,0.620633,15.7407,-9.88889,-4.22222,14.1111,0.390957,2.34513,N
175,188,0.0,3.0,2.57337,2.33333,1.29957,55.7778,-18.3333,40.0,-21.6667,0.296294,-2.03967,N
192,142,0.111111,0.5,0.122222,1.5,0.522222,4.66667,6.33333,0.666667,-7.0,0.662037,-0.604864,P
101,72,0.0,2.5,4.74444,1.77778,6.29629,26.4815,-8.77778,27.8889,-19.1111,0.436895,-1.84616,P
211,107,0.111111,2.55556,2.25185,2.05556,2.81852,16.7407,-14.8889,27.1111,-12.2222,0.547173,-2.15946,N
140,125,0.0,0.277778,0.062963,0.666667,0.311111,6.18518,3.44444,4.44444,-7.88889,0.545635,-1.12182,P
221,107,0.0,1.16667,0.211111,0.833333,0.344444,2.22222,-5.66667,9.33333,-3.66667,0.94709,-2.22635,N
168,13,0.111111,1.33333,0.444445,1.33333,0.400002,130.407,-32.2222,45.1111,-12.8889,0.177191,-2.35524,N
200,250,0.0,2.27778,1.42075,1.44444,1.0256,9.22222,-8.0,-5.66667,13.6667,0.56339,2.19294,N
23,85,0.0,1.44444,1.05185,1.77778,0.962963,17.963,2.77778,11.7778,-14.5556,0.399751,-1.38687,P
65,143,0.0,0.333333,0.133333,0.444445,0.074074,5.03704,4.55556,2.55556,-7.11111,0.595238,-0.907416,P
108,128,0.0,7.05556,4.36866,1.66667,1.05409,53.2593,-20.7778,41.5556,-20.7778,0.312927,-2.09193,N
17,64,0.0,1.44444,1.36296,1.66667,1.42222,18.8889,-4.0,18.6667,-14.6667,0.441092,-1.75551,P
187,134,0.111111,3.0,2.04445,1.11111,0.385185,26.7037,-19.1111,32.2222,-13.1111,0.457752,-2.21646,N
197,121,0.0,21.6667,17.3628,0.944444,0.904721,41.037,-10.7778,25.2222,-14.4444,0.280578,-1.99554,N
188,42,0.0,0.777779,0.54433,1.66667,1.26491,108.926,-39.7778,51.8889,-12.1111,0.241934,-2.41039,N
99,130,0.0,0.555555,0.45542,0.555555,0.544331,1.37037,-3.77778,5.88889,-2.11111,0.977778,-2.23903,N
95,71,0.0,1.05555,1.08518,2.22222,3.76296,105.667,-27.0,50.3333,-23.3333,0.212264,-2.14316,N
153,192,0.0,3.38889,1.78159,7.44444,4.13477,53.4444,-18.3333,34.6667,-16.3333,0.272721,-2.1642,N
118,167,0.111111,0.888889,0.518518,2.05556,0.996296,14.5926,-5.11111,-2.44444,7.55556,0.248449,2.30573,N
69,75,0.111111,2.11111,1.40741,1.5,2.21111,22.7407,-2.22222,19.7778,-17.5556,0.423501,-1.64188,P
98,119,0.222222,1.44444,0.518519,2.55556,5.58518,21.5926,-0.777778,17.2222,-16.4444,0.408211,-1.57896,P
59,116,0.0,3.0,2.81267,0.777778,0.45542,21.963,-12.2222,22.7778,-10.5556,0.395663,-2.14478,N
14,28,0.0,0.555553,0.074075,1.22222,0.429626,110.481,-37.7778,61.8889,-24.1111,0.253299,-2.23887,N
228,42,0.111111,2.05556,1.55516,4.33333,2.23109,44.5556,-15.0,28.6667,-13.6667,0.271572,-2.12013,N
116,35,0.0,0.833333,0.781735,0.888888,0.544333,125.185,-34.2222,48.4444,-14.2222,0.194853,-2.34664,N
45,108,0.0,25.5,12.7954,27.2778,15.931,49.8148,-24.1111,33.8889,-9.77778,0.358975,-2.36049,N
127,118,0.0,11.5556,10.23,0.833334,0.691215,34.3333,-10.6667,22.0,-11.3333,0.293949,-2.07767,N
152,220,0.0,0.944445,0.685185,1.44444,2.16296,14.6296,-9.22222,-4.55556,13.7778,0.416705,2.30688,N
28,131,0.0,0.222222,0.074074,0.777778,0.207407,5.18518,4.44444,2.44444,-6.88889,0.566138,-0.874641,P
181,15,0.0,0.833336,0.211111,1.44444,1.22963,140.296,-19.2222,27.7778,-8.55556,0.104639,-2.33056,N
201,125,0.111111,1.72222,1.34026,8.55555,5.72583,43.3704,-5.11111,16.8889,-11.7778,0.192484,-1.84058,N
201,125,0.0,1.0,0.444444,9.94444,103.752,42.8148,-11.1111,26.8889,-15.7778,0.270638,-1.97302,N
59,120,0.0,2.16667,1.98606,1.44444,1.86984,19.0741,-25.5556,42.1111,-16.5556,0.681266,-2.23126,N
21,64,0.0,16.2778,12.9485,20.2222,17.6291,31.0,-19.0,21.0,-2.0,0.400746,-2.59382,N
196,95,0.0,1.72222,1.12382,1.33333,1.26491,7.62963,-2.55556,9.44444,-6.88889,0.512566,-1.74926,N
63,19,0.0,2.44444,1.18634,1.44444,0.886106,45.1852,-21.5556,40.7778,-19.2222,0.355227,-2.13368,N
45,108,0.0,25.5,12.7954,27.2778,15.931,49.8148,-24.1111,33.8889,-9.77778,0.358975,-2.36049,N
123,183,0.0,1.11111,0.651852,6.33333,36.9333,32.2593,-8.44444,20.5556,-12.1111,0.266436,-1.97077,N
95,109,0.0,1.0,0.488889,1.94444,2.72963,17.2593,5.88889,8.22222,-14.1111,0.384997,-1.1312,P
187,89,0.0,3.0,1.60555,1.11111,1.06805,8.44444,-6.33333,13.6667,-7.33333,0.548545,-2.04388,N
115,111,0.0,0.555556,0.403687,1.94444,1.04172,18.037,-25.1111,36.2222,-11.1111,0.679513,-2.33332,N
108,123,0.0,0.611111,0.240741,0.666667,0.266667,6.74074,4.44444,3.77778,-8.22222,0.524471,-0.985729,P
206,61,0.0,0.555555,0.403687,0.5,0.459468,7.07407,-7.22222,15.4444,-8.22222,0.645891,-2.04872,N
34,169,0.0,0.833333,0.505525,1.61111,0.879815,12.8148,-6.44444,-9.11111,15.5556,0.463569,1.99318,N
4,96,0.0,2.22222,2.96296,1.55556,2.25185,3.55556,-8.0,12.6667,-4.66667,0.910065,-2.24448,N
29,81,0.111111,2.61111,3.75185,2.72222,3.75185,20.4815,-1.11111,16.8889,-15.7778,0.412662,-1.56634,P
129,184,0.111111,2.22222,0.910841,3.61111,1.81863,45.2222,-10.3333,27.6667,-17.3333,0.275818,-1.9302,N
88,136,0.0,1.83333,1.14988,2.05556,2.11257,8.0,-11.6667,15.6667,-4.0,0.695088,-2.41267,N
21,123,0.0,0.888888,0.385186,1.0,0.355555,19.2963,-10.8889,21.1111,-10.2222,0.408913,-2.11573,N
73,19,0.0,0.944445,0.389681,0.944443,0.680416,127.519,-32.8889,46.7778,-13.8889,0.185539,-2.34419,N
70,38,0.0,1.22222,0.272166,1.0,0.760116,58.0,-24.0,49.0,-25.0,0.336015,-2.0785,N
135,211,0.0,1.88889,1.32777,2.16667,1.14988,17.963,-10.5556,-4.88889,15.4444,0.375552,2.32755,N
151,163,0.0,2.05556,2.28519,18.1667,41.9889,40.0,-16.3333,24.0,-7.66667,0.263846,-2.51749,N
161,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
223,175,0.0,3.77778,3.12457,7.16667,4.68923,57.8519,-21.2222,44.7778,-23.5556,0.312834,-2.05935,N
253,75,0.0,0.666668,0.266666,0.888888,0.385187,88.5556,-49.6667,82.0,-32.3333,0.378682,-2.232,N
93,190,0.0,5.5,1.8227,2.61111,3.23465,53.5926,-18.7778,39.8889,-21.1111,0.303602,-2.05255,N
230,113,0.0,1.11111,0.501849,0.555556,0.544331,21.5926,-10.4444,18.8889,-8.44444,0.350082,-2.16363,N
139,128,0.0,2.94444,7.88519,3.16667,12.4333,5.2963,-8.55556,12.7778,-4.22222,0.804724,-2.30037,N
205,194,0.0,1.61111,1.20031,5.38889,3.04351,41.2963,-12.5556,27.4444,-14.8889,0.28056,-2.03757,N
57,229,0.0,2.72222,2.05931,3.44444,1.40896,14.6296,-7.88889,-3.22222,11.1111,0.347692,2.35044,N
95,57,0.0,1.83333,3.41111,2.11111,1.71852,26.2963,-4.88889,24.4444,-19.5556,0.425691,-1.73902,P
156,188,0.0,4.27778,2.31341,5.0,3.74759,61.2593,-18.4444,43.2222,-24.7778,0.300242,-1.99775,N
62,200,0.0,2.27778,2.13351,3.77778,1.78471,61.037,-20.7778,46.2222,-25.4444,0.312541,-2.02659,N
230,117,0.0,3.27778,0.928958,1.44444,0.860663,39.037,-16.4444,32.2222,-15.7778,0.335026,-2.10623,N
199,120,0.0,3.5,4.07778,8.33333,53.9556,39.3333,-11.6667,25.3333,-13.6667,0.272752,-2.04675,N
202,208,0.0,1.72222,1.3963,1.83333,3.05555,19.2593,-11.1111,-4.77778,15.8889,0.368866,2.39677,N
23,172,0.0,1.33333,0.894427,9.16667,5.85662,42.3333,-13.0,26.6667,-13.6667,0.265454,-2.12656,N
63,13,0.0,1.16667,1.01112,0.944445,0.685187,141.815,-14.1111,21.2222,-7.11111,0.079806,-2.27677,N
93,46,0.0,2.11111,1.62963,1.77778,1.80741,126.037,-30.1111,44.8889,-14.7778,0.177195,-2.30444,N
140,125,0.0,0.666667,0.222222,2.66667,3.77778,3.92593,-7.11111,11.5556,-4.44444,0.853199,-2.23424,N
166,154,0.0,0.111111,0.02963,0.444444,0.074074,0.703704,-1.44444,3.55556,-2.11111,1.0,-2.01751,N
78,85,0.0,5.5,2.10555,6.5,4.59831,48.8889,-19.3333,38.0,-18.6667,0.315228,-2.09736,N
182,39,0.0,5.5,5.73779,0.611111,0.879815,9.51852,-6.55556,14.4444,-7.88889,0.576021,-2.03623,N
182,135,0.0,4.22222,1.12875,1.11111,1.0256,32.7037,-12.4444,24.8889,-12.4444,0.308824,-2.0932,N
236,102,0.0,1.05556,0.062963,1.77778,1.22963,51.7037,-16.4444,37.8889,-21.4444,0.307007,-2.00985,N
32,158,0.0,0.944445,0.862963,0.833333,0.611111,7.96296,-4.88889,11.7778,-6.88889,0.520578,-1.98283,N
23,92,0.0,4.11111,4.63641,7.0,5.6882,12.6667,-11.6667,18.0,-6.33333,0.564898,-2.28056,N
32,95,0.0,1.27778,1.04074,2.22222,3.0963,3.14815,-7.11111,12.8889,-5.77778,0.919597,-2.15196,N
142,182,0.0,2.5,1.1,2.27778,3.61852,34.5185,-8.88889,23.1111,-14.2222,0.293208,-1.94304,N
233,184,0.0,0.5,0.077778,0.777778,0.785185,11.8519,-6.22222,-5.88889,12.1111,0.405556,2.12865,N
253,32,0.0,0.499999,0.586892,1.33333,0.557772,116.778,-38.6667,49.6667,-11.0,0.220748,-2.42119,N
203,61,0.0,0.166667,0.278887,0.722222,0.443054,7.0,-7.66667,16.0,-8.33333,0.66626,-2.0682,N
98,107,0.0,4.66667,3.73333,3.94444,17.1296,8.7037,-11.4444,17.5556,-6.11111,0.697226,-2.28015,N
38,189,0.0,1.0,0.222222,6.22222,33.3185,29.0741,-8.22222,18.4444,-10.2222,0.271208,-2.04915,N
38,146,0.0,0.5,0.122222,0.666667,0.266667,5.11111,1.66667,5.0,-6.66667,0.571429,-1.25836,P
151,129,0.0,8.05556,8.14157,0.722222,0.827758,32.037,-13.4444,27.2222,-13.7778,0.338407,-2.0788,N
86,193,0.0,3.27778,1.65216,2.22222,1.80944,61.4074,-23.2222,45.4444,-22.2222,0.299579,-2.10937,N
104,68,0.0,1.0,0.57778,0.888889,0.829629,105.778,-32.0,57.3333,-25.3333,0.239143,-2.17,N
60,52,0.0,0.722223,0.596301,0.777777,0.740744,111.63,-31.8889,52.7778,-20.8889,0.218379,-2.22968,N
62,202,0.0,2.55556,1.70837,1.5,1.13039,60.4815,-20.4444,43.2222,-22.7778,0.29788,-2.06061,N
243,94,0.0,0.666667,0.311111,0.222222,0.02963,1.18519,-2.88889,6.11111,-3.22222,0.977778,-2.07124,N
22,87,0.0,1.88889,1.25904,1.16667,0.623611,64.037,-24.7778,48.8889,-24.1111,0.3097,-2.10507,N
96,92,0.111111,3.33333,2.97778,1.77778,0.651851,22.8889,-3.33333,20.6667,-17.3333,0.422223,-1.68265,P
119,153,0.0,5.05556,5.53942,0.055556,0.136083,3.37037,-1.11111,1.55556,-0.444444,0.085017,-2.22172,N
86,194,0.0,1.77778,1.27407,1.88889,0.385185,16.7778,-10.6667,-0.333333,11.0,0.352132,2.59311,N
6,174,0.0,1.88889,1.00741,2.88889,4.02963,19.0741,-11.8889,-3.88889,15.7778,0.381867,2.39502,N
39,111,0.0,0.722222,0.374074,0.888889,0.429629,6.03704,2.88889,4.88889,-7.77778,0.562919,-1.17577,P
23,147,0.0,0.333333,0.133333,0.722222,0.418518,4.59259,-1.44444,8.55556,-7.11111,0.698445,-1.56175,P
248,53,0.0,0.722229,0.285188,0.833333,0.700008,134.778,-19.6667,33.0,-13.3333,0.121119,-2.21749,N
33,100,0.0,0.722222,0.534027,0.666667,0.365148,1.22222,-3.33333,4.66667,-1.33333,0.977778,-2.3371,N
103,216,0.0,0.888889,0.651852,2.16667,1.14444,14.5556,-11.0,-2.66667,13.6667,0.431696,2.44755,N
243,94,0.0,0.666667,0.311111,0.222222,0.02963,1.18519,-2.88889,6.11111,-3.22222,0.977778,-2.07124,N
23,25,0.0,1.11111,0.750305,0.611111,0.64693,70.4444,-29.3333,55.6667,-26.3333,0.318191,-2.13042,N
75,75,0.0,2.83333,4.61111,2.22222,3.71852,25.963,-7.88889,26.4444,-18.5556,0.429663,-1.8356,P
222,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
240,63,0.0,0.555556,0.544331,0.388889,0.389682,8.96296,-7.88889,15.1111,-7.22222,0.5477,-2.12184,N
212,94,0.0,1.72222,2.37407,1.22222,0.962962,15.6296,-15.2222,27.7778,-12.5556,0.57666,-2.15947,N
86,187,0.0,1.11111,0.720082,1.44444,0.750309,13.7407,-6.22222,-10.2222,16.4444,0.463329,1.94146,N
198,183,0.0,1.05555,1.18165,3.38889,1.59745,54.037,-15.4444,37.5556,-22.1111,0.298622,-1.97496,N
119,85,0.0,0.499999,0.299998,0.888887,0.607409,101.037,-36.7778,64.5556,-27.7778,0.275467,-2.18634,N
216,169,0.0,0.833333,0.388889,1.94444,0.418518,16.5926,-11.4444,-2.77778,14.2222,0.400756,2.44578,N
24,205,0.0,2.22222,1.58699,2.38889,2.48924,56.0741,-18.8889,41.1111,-22.2222,0.303912,-2.03826,N
80,116,0.0,1.5,1.63333,1.55556,0.874074,21.7037,-1.44444,17.5556,-16.1111,0.407364,-1.63224,P
13,191,0.0,3.55556,5.40741,7.77778,40.0296,25.2963,-5.22222,13.7778,-8.55556,0.237113,-1.85826,N
10,94,0.0,0.444445,0.118519,0.722222,0.196296,2.25926,-6.44444,11.2222,-4.77778,0.986111,-2.18971,N
103,226,0.0,1.72222,1.70741,1.61111,1.75185,13.4815,-9.77778,-4.77778,14.5556,0.442456,2.30385,N
232,31,0.0,0.555555,0.344266,0.777777,0.344266,114.963,-39.2222,52.7778,-13.5556,0.23132,-2.38488,N
123,143,0.0,0.277778,0.389682,0.277778,0.136083,0.407407,-1.22222,2.44444,-1.22222,0.777778,-2.0944,N
138,144,0.0,0.888889,0.860663,0.277778,0.534027,0.666667,-0.333333,1.0,-0.666667,0.37037,-1.90427,N
43,137,0.0,0.166667,0.077778,1.38889,1.75185,1.66667,-3.0,6.33333,-3.33333,0.917989,-2.07124,N
238,118,0.0,0.333333,0.177778,0.777778,0.074074,5.0,3.66667,3.66667,-7.33333,0.617063,-1.0472,P
20,189,0.0,1.72222,1.75185,2.66667,3.82223,34.1111,-12.0,26.0,-14.0,0.309884,-2.04428,N
58,111,0.0,3.22222,3.45185,2.05556,0.951851,19.3333,-11.3333,20.6667,-9.33333,0.409226,-2.15372,N
49,139,0.0,0.166667,0.077778,0.333333,0.088889,0.444444,-1.33333,2.66667,-1.33333,0.777778,-2.0944,N
22,87,0.0,1.88889,1.25904,1.16667,0.623611,64.037,-24.7778,48.8889,-24.1111,0.3097,-2.10507,N
