V1,V2,V3,V4,Class
-1.46,9.12,1.74,-5.12,1
-1.51,1.92,7.15,0.89,1
-0.92,9.99,1.18,-5.23,1
2.99,7.2,-1.22,0.32,1
-2.34,12.95,3.33,-5.94,1
3.78,-2.88,2.26,-0.16,1
4.67,1.31,0.06,1.91,1
3.47,1.11,1.74,1.34,1
3.27,-4.34,3.69,-0.3,1
5.13,8.67,-2.89,-1.51,1
2.01,6.14,0.38,0.57,1
0.43,5.54,2.03,-0.4,1
-1.04,9.4,0.86,-5.33,1
4.16,11.22,-3.61,-4.08,1
5.44,9.47,-4.94,-3.92,1
5.03,8.2,-2.63,-1.03,1
5.24,10.54,-4.12,-4.28,1
-0.21,9.22,-3.7,-6.81,1
2.09,0.94,4.55,1.23,1
1.73,-0.35,4.19,-0.99,1
4.17,3.33,-1.42,0.6,1
3.92,-3.25,3.46,0.84,1
3.85,10.15,-3.86,-4.22,1
0.52,-3.26,3.09,-0.98,1
3.86,0.78,1.1,1.7,1
1.75,-0.18,5.18,1.29,1
3.63,0.98,0.69,0.63,1
2.74,7.4,0.07,-2.53,1
4.54,8.23,-2.42,-1.59,1
-1.76,11.92,2.68,-3.32,1
5.07,0.21,0.2,1.21,1
3.46,11.11,-4.2,-5.09,1
1.94,8.16,-0.02,-2.26,1
2.49,-1.0,5.34,-0.16,1
2.42,-4.58,5.95,0.22,1
3.95,-3.77,2.88,0.02,1
2.26,-4.49,3.66,-0.61,1
1.36,4.24,2.13,0.32,1
5.04,3.9,-1.43,0.86,1
3.55,8.62,-3.28,-1.2,1
0.17,7.87,0.27,-3.79,1
2.4,9.36,-3.36,-3.35,1
4.88,1.6,-0.0,1.64,1
4.19,-3.27,2.58,0.22,1
1.12,8.65,-0.96,-1.81,1
1.02,6.9,-2.01,-2.71,1
-1.8,11.88,2.05,-5.27,1
0.12,6.28,-1.55,-2.48,1
0.57,-0.02,1.24,-0.56,1
4.06,-2.46,2.28,1.03,1
-1.7,1.07,8.83,0.95,1
-1.12,10.73,2.09,-5.65,1
1.88,2.47,2.49,0.38,1
3.58,-3.8,3.44,-0.12,1
0.19,9.13,-3.72,-5.82,1
3.66,5.69,-1.72,-0.24,1
-0.13,-1.78,8.33,0.35,1
2.39,9.8,-3.04,-2.82,1
1.64,3.02,0.23,-0.15,1
-0.12,-1.58,8.03,-0.03,1
-0.7,8.62,1.84,-4.33,1
2.94,7.41,-0.98,-0.88,1
-1.76,11.95,3.1,-4.9,1
-1.25,10.88,1.93,-4.32,1
3.26,-4.46,3.8,-0.15,1
1.83,6.37,-0.04,0.05,1
4.56,-3.63,2.87,0.28,1
2.74,-5.03,6.66,-0.58,1
0.93,-3.8,4.64,-0.3,1
3.97,10.17,-4.11,-4.61,1
1.46,-0.08,4.18,0.59,1
4.83,3.07,0.69,0.81,1
-2.34,12.38,0.7,-7.58,1
-1.86,7.89,-1.66,-1.84,1
4.14,7.26,-1.92,-0.86,1
1.92,6.08,0.24,-2.01,1
4.02,-2.19,2.46,1.14,1
5.89,5.88,-2.82,-0.3,1
-2.09,10.83,2.36,-3.42,1
4.0,-3.59,3.56,0.27,1
-0.79,9.57,-3.79,-7.5,1
4.18,10.26,-3.86,-4.31,1
0.83,7.54,0.65,-0.92,1
4.81,2.23,-0.26,1.55,1
5.31,5.27,-2.89,-0.53,1
2.56,9.27,-3.59,-1.36,1
2.11,7.6,-0.48,-1.85,1
2.17,-0.74,5.47,-0.72,1
4.29,9.18,-4.61,-4.33,1
3.52,10.19,-4.28,-4.98,1
2.61,8.01,-3.73,-1.31,1
0.68,2.33,4.91,0.55,1
4.2,0.74,0.83,0.75,1
6.09,2.97,-1.33,1.46,1
1.32,3.3,0.24,-0.12,1
1.33,1.03,5.66,-0.41,1
-0.17,7.63,1.21,-3.62,1
-1.3,10.27,-2.95,-5.86,1
-2.23,12.54,2.94,-3.53,1
2.42,6.47,-0.76,0.23,1
1.1,0.64,5.99,-0.58,1
4.65,10.53,-4.58,-4.21,1
-0.36,4.12,3.11,-0.37,1
1.36,3.21,4.35,0.79,1
0.57,-0.02,1.24,-0.56,1
-2.65,10.14,-1.33,-5.47,1
3.12,-3.14,1.93,-0.38,1
5.49,1.55,0.04,1.93,1
-1.34,1.55,7.08,1.03,1
-2.34,11.96,3.08,-5.44,1
2.26,-0.03,4.74,-0.28,1
0.47,-0.63,7.38,0.36,1
2.73,2.87,0.51,0.51,1
2.05,2.03,2.18,-0.08,1
-1.33,9.5,2.44,-5.27,1
3.89,-2.15,2.63,1.1,1
4.0,0.9,1.17,1.69,1
2.4,9.51,-3.18,-3.01,1
3.27,6.93,-1.05,0.23,1
-1.39,1.57,7.54,0.78,1
1.64,3.55,1.4,-0.36,1
2.77,6.86,-1.07,0.08,1
2.43,9.38,-3.25,-1.45,1
4.21,-2.81,2.01,0.67,1
1.65,0.48,4.74,1.23,1
2.06,-0.99,5.21,-0.29,1
0.38,0.71,0.76,-0.44,1
1.01,8.46,-1.67,-2.08,1
4.57,-4.46,3.18,0.0,1
0.57,10.11,-1.69,-4.39,1
0.57,9.19,-0.91,-1.87,1
5.29,3.26,-1.37,1.17,1
4.01,10.66,-4.14,-5.07,1
4.14,-3.68,3.83,1.63,1
3.09,-2.92,2.22,0.22,1
2.2,6.0,0.53,0.85,1
3.74,0.8,0.96,1.01,1
3.03,2.3,2.11,0.35,1
3.77,7.21,-1.68,-0.95,1
3.16,2.89,0.6,0.8,1
1.81,7.61,-0.98,-2.47,1
4.99,7.2,-3.28,-1.16,1
2.48,6.62,-0.79,-0.91,1
1.59,4.71,1.38,0.08,1
-0.02,9.75,0.15,-1.61,1
3.85,9.79,-4.15,-4.46,1
0.93,-3.8,4.64,-0.3,1
4.93,2.41,-0.18,1.62,1
3.84,10.02,-4.27,-4.92,1
5.39,9.99,-3.81,-3.36,1
4.41,-0.07,2.04,1.13,1
2.7,6.8,-0.4,0.45,1
5.28,0.14,0.12,1.14,1
3.43,6.26,-1.95,-0.36,1
4.05,-0.17,0.45,0.51,1
1.36,-4.78,8.42,-1.88,1
0.9,7.78,-2.75,-1.94,1
1.93,7.76,-0.17,-3.08,1
0.21,-0.46,7.73,0.91,1
4.07,-2.94,2.2,0.5,1
2.88,-4.06,3.63,-0.32,1
0.32,-0.9,8.09,0.69,1
-1.3,10.27,-2.95,-5.86,1
1.78,-6.43,8.15,-0.9,1
1.34,-4.42,8.09,-1.74,1
0.9,10.55,-1.42,-4.03,1
0.44,2.95,4.32,0.72,1
3.24,6.23,0.12,-1.45,1
2.57,3.51,0.61,-0.41,1
-2.22,11.96,0.08,-7.78,1
4.14,6.12,-2.43,-0.2,1
1.93,-0.0,4.82,-0.34,1
2.51,1.16,3.92,0.13,1
2.15,6.08,-0.58,-2.23,1
0.05,7.05,-2.05,-3.15,1
1.27,8.04,-0.2,-2.19,1
1.14,0.83,5.46,-0.57,1
2.29,9.04,-3.24,-1.3,1
0.33,-4.46,4.57,-0.99,1
2.97,6.84,-0.27,0.71,1
1.68,8.75,-1.26,-1.39,1
-1.92,11.69,2.54,-3.28,1
2.37,10.47,-3.01,-3.2,1
1.03,9.77,-1.37,-1.78,1
0.27,9.22,-3.29,-4.84,1
1.6,-4.79,8.52,-2.12,1
4.62,10.18,-4.22,-4.42,1
4.25,7.7,-2.77,-1.08,1
4.02,-2.7,2.5,0.37,1
5.03,-4.97,3.5,-0.24,1
1.59,2.3,3.24,0.18,1
2.13,5.19,-1.8,-1.18,1
1.18,8.38,-2.06,-0.9,1
0.33,-4.46,4.57,-0.99,1
5.74,5.28,-2.26,0.08,1
2.67,5.66,0.73,-1.49,1
1.58,-4.71,7.92,-1.55,1
2.95,2.25,1.35,-0.04,1
0.52,-3.26,3.09,-0.98,1
3.74,9.59,-3.9,-3.35,1
-1.73,2.02,7.76,0.94,1
3.88,10.03,-3.93,-4.08,1
3.53,1.28,1.93,1.8,1
4.46,2.5,1.03,0.97,1
-0.16,-6.46,8.36,-1.52,1
4.22,9.46,-4.93,-5.24,1
3.52,6.82,-0.67,-0.47,1
1.7,2.91,2.9,0.11,1
1.06,2.45,2.52,-0.17,1
2.04,1.24,4.22,0.9,1
3.56,1.31,1.29,1.66,1
3.0,5.81,-2.23,-0.67,1
3.93,1.41,1.81,0.9,1
3.47,-4.07,4.29,1.54,1
3.97,3.92,0.71,0.34,1
1.02,2.33,4.93,0.83,1
0.96,5.62,2.21,-0.12,1
1.82,6.76,0.01,0.4,1
4.99,7.86,-2.35,-0.72,1
-1.18,11.51,0.16,-6.82,1
4.03,0.23,0.89,1.18,1
0.66,10.39,-1.4,-3.92,1
3.6,7.13,-1.3,0.21,1
-1.86,7.89,-1.66,-1.84,1
4.1,0.47,1.67,0.92,1
3.33,0.91,1.58,0.39,1
3.11,3.11,0.81,0.43,1
-4.29,8.52,3.14,-0.92,1
-1.25,10.2,2.18,-5.6,1
0.52,-3.26,3.09,-0.98,1
0.33,-4.46,4.57,-0.99,1
0.89,5.34,2.04,-0.19,1
3.55,9.37,-4.04,-3.96,1
-0.22,8.03,1.88,-3.88,1
2.72,9.08,-3.31,-0.97,1
3.2,8.69,-2.9,-0.78,1
2.69,10.82,-3.3,-4.29,1
-2.32,11.52,1.82,-5.38,1
2.72,-4.2,4.19,0.17,1
3.38,3.27,0.91,0.25,1
1.74,4.8,2.09,0.63,1
2.8,0.58,1.34,1.21,1
5.78,5.58,-2.41,-0.06,1
3.9,1.73,1.6,0.97,1
3.52,6.33,-1.78,-0.02,1
3.23,7.74,-0.38,-2.54,1
3.5,3.16,0.23,-0.16,1
2.19,1.38,1.16,0.86,1
2.25,9.96,-3.18,-2.99,1
4.15,-3.94,2.86,-0.02,1
0.74,11.17,-1.38,-4.07,1
1.91,8.87,-2.34,-0.76,1
-1.51,0.07,6.87,-0.51,1
0.59,10.77,-1.39,-4.33,1
3.23,7.84,-3.54,-1.22,1
-1.99,11.65,2.65,-5.21,1
2.85,9.01,-3.76,-3.34,1
4.28,2.5,0.49,0.36,1
1.51,0.04,6.23,-0.3,1
5.42,10.15,-4.08,-3.7,1
0.86,2.7,4.29,0.55,1
3.81,10.15,-4.05,-4.56,1
0.55,10.38,-1.54,-4.16,1
2.37,7.49,0.02,-1.74,1
-2.5,11.15,1.94,-3.46,1
4.64,-2.66,2.84,1.2,1
-2.25,11.53,2.59,-3.27,1
3.8,10.42,-4.16,-4.97,1
-0.36,8.29,-1.92,-3.33,1
2.13,6.88,0.45,-2.22,1
0.87,5.56,1.68,-0.17,1
3.78,10.05,-3.89,-3.74,1
-2.26,12.12,0.29,-7.76,1
1.26,4.43,-1.33,-1.75,1
2.68,3.14,0.34,0.58,1
-0.4,5.98,1.39,-1.16,1
4.39,0.36,2.04,1.2,1
2.97,5.62,0.28,-1.16,1
1.3,-0.16,6.49,-0.75,1
2.21,-5.84,7.77,-0.85,1
1.96,6.94,0.58,0.66,1
3.09,-2.58,2.23,0.31,1
0.38,0.71,0.76,-0.44,1
0.59,7.43,1.24,-2.96,1
0.15,7.95,1.07,-3.34,1
-0.06,6.2,1.1,-1.13,1
4.22,1.13,0.72,0.96,1
0.64,7.1,0.35,-0.41,1
1.94,0.46,4.65,1.09,1
4.0,0.46,1.36,1.62,1
3.78,9.78,-3.91,-3.53,1
3.48,-0.15,2.53,2.45,1
1.98,9.26,-3.52,-1.87,1
3.8,-3.87,4.04,0.95,1
4.35,11.11,-4.09,-4.25,1
1.15,1.39,5.27,-0.44,1
-1.26,1.59,7.01,0.42,1
1.96,-5.12,8.61,-1.43,1
-2.48,12.16,2.82,-3.74,1
-1.15,1.3,7.7,0.63,1
4.84,10.01,-4.32,-4.33,1
-0.12,8.81,0.95,-4.23,1
1.94,6.4,0.09,0.58,1
1.74,-4.81,8.21,-2.07,1
-1.52,10.84,2.78,-4.1,1
-1.3,10.27,-2.95,-5.86,1
3.42,-0.15,0.8,0.29,1
2.55,-4.95,6.37,-0.42,1
1.57,6.35,-0.18,-2.41,1
1.31,4.92,2.0,0.22,1
5.18,8.23,-3.25,-1.57,1
2.23,9.63,-3.11,-2.72,1
5.63,10.09,-4.29,-3.81,1
1.21,8.8,-2.17,-0.74,1
0.38,0.71,0.76,-0.44,1
0.54,6.03,1.68,-0.46,1
4.05,5.68,-1.97,0.03,1
4.73,2.11,-0.28,1.56,1
3.44,0.66,2.1,1.89,1
0.87,10.24,-1.49,-4.01,1
3.36,9.8,-3.82,-3.71,1
3.67,2.99,0.85,0.31,1
1.34,6.12,0.46,0.5,1
3.19,-3.41,2.77,-0.2,1
2.45,2.96,0.2,-0.06,1
3.91,2.97,0.93,0.61,1
3.94,10.59,-3.72,-4.31,1
3.94,-3.29,3.17,1.09,1
3.69,-3.96,4.34,1.35,1
5.68,7.8,-2.68,-0.92,1
0.77,9.09,-1.23,-1.5,1
3.58,9.78,-3.98,-3.46,1
1.6,6.12,0.53,0.48,1
2.67,10.22,-3.44,-4.01,1
2.0,1.86,2.65,0.47,1
0.64,3.13,4.29,0.65,1
4.38,-3.07,3.04,1.27,1
0.77,9.06,-2.41,-1.39,1
0.97,8.39,-1.36,-1.47,1
3.1,8.73,-2.9,-0.97,1
4.94,7.6,-2.34,-0.85,1
-1.95,11.22,1.91,-3.44,1
5.74,-0.44,0.38,1.38,1
-2.7,12.2,0.68,-8.55,1
1.15,3.6,1.94,-0.43,1
2.97,8.96,-2.9,-1.04,1
4.57,7.21,-3.28,-1.49,1
0.18,6.51,2.01,-0.87,1
0.87,9.29,-0.78,-2.2,1
0.4,6.89,1.06,-0.68,1
3.84,6.18,-2.04,-0.03,1
2.82,7.31,-0.82,-1.88,1
2.58,9.76,-3.18,-3.0,1
3.82,0.23,2.01,2.06,1
0.38,0.71,0.76,-0.44,1
3.49,6.69,-1.2,-0.39,1
-1.78,0.86,7.13,0.03,1
2.1,2.48,1.94,-0.04,1
0.95,-0.57,7.19,-0.68,1
2.83,9.4,-3.3,-1.05,1
0.01,8.37,0.51,-3.82,1
0.97,7.19,1.28,-2.46,1
4.74,2.11,0.14,1.65,1
3.66,7.28,-2.27,-1.14,1
3.88,6.4,-2.43,-0.98,1
3.48,8.81,-3.19,-0.92,1
1.13,7.92,1.09,-2.84,1
2.82,2.86,0.2,0.57,1
1.93,6.04,0.26,-2.05,1
3.06,-3.33,5.13,0.83,1
-1.84,10.83,2.77,-3.09,1
2.81,11.3,-3.34,-4.42,1
2.57,-4.41,5.99,0.08,1
-0.13,10.32,-3.71,-6.12,1
3.38,-4.1,4.37,1.07,1
-0.05,-1.6,8.48,0.76,1
0.57,-0.02,1.24,-0.56,1
0.88,6.59,0.56,-0.44,1
3.86,3.71,0.7,0.35,1
1.3,2.58,2.01,-0.19,1
2.0,-6.86,8.13,-0.24,1
4.93,0.28,0.21,0.34,1
2.83,6.35,-0.74,-0.59,1
2.56,8.63,-2.99,-1.31,1
2.09,8.31,0.02,-3.27,1
4.6,5.63,-2.12,0.19,1
5.06,-0.36,0.45,1.0,1
-0.3,9.05,-0.53,-2.08,1
3.58,2.4,1.89,0.73,1
3.94,2.5,1.52,0.9,1
2.66,10.75,-3.4,-4.17,1
5.94,6.17,-2.59,-0.37,1
2.02,1.85,3.14,0.43,1
5.88,5.94,-2.85,-0.61,1
-2.4,12.61,2.95,-5.79,1
1.76,4.37,2.14,0.75,1
4.24,-2.48,1.61,0.72,1
3.47,6.87,-1.06,-0.73,1
3.19,5.75,-0.18,-0.3,1
0.81,9.16,-2.15,-4.18,1
0.53,0.96,4.02,-1.05,1
2.13,-2.04,2.56,-0.06,1
0.33,4.57,2.06,-0.19,1
1.27,8.82,-1.53,-1.8,1
2.21,7.46,-1.33,-3.3,1
2.53,7.53,-0.42,-2.65,1
3.62,1.46,1.35,1.93,1
-1.39,12.5,0.69,-7.55,1
5.72,5.83,-2.41,-0.24,1
3.36,10.36,-3.73,-3.7,1
2.52,2.24,2.72,0.79,1
0.04,6.73,1.07,-0.93,1
4.83,7.76,-2.45,-1.22,1
1.95,-4.77,8.53,-1.87,1
2.77,0.66,4.15,-0.28,1
-0.11,-0.77,7.76,0.64,1
0.72,-0.05,5.67,-1.35,1
4.25,1.48,-0.48,0.95,1
3.98,0.34,2.26,2.16,1
3.67,4.3,0.56,0.34,1
2.82,10.85,-3.15,-3.98,1
-1.42,11.65,-0.06,-7.1,1
4.25,1.2,0.67,0.95,1
4.1,-4.81,3.35,-0.49,1
1.45,8.79,-2.23,-0.65,1
3.46,-3.92,3.98,0.36,1
1.85,6.15,1.02,-2.04,1
3.53,0.72,1.95,1.94,1
3.97,1.04,0.76,1.0,1
3.53,9.36,-3.63,-1.25,1
3.69,9.89,-4.08,-4.37,1
3.07,-4.41,3.82,-0.82,1
2.65,-4.82,6.36,0.0,1
2.29,3.73,0.63,-0.4,1
1.57,7.93,-0.06,-2.17,1
4.04,0.52,1.03,1.11,1
4.38,-4.88,3.37,-0.03,1
2.02,-0.25,5.17,1.08,1
4.04,11.17,-4.36,-4.74,1
-0.34,-0.65,7.67,0.72,1
-2.46,12.73,0.92,-7.64,1
4.12,10.93,-3.89,-4.18,1
2.02,0.82,4.64,1.42,1
1.57,7.91,0.29,-2.19,1
2.64,7.59,-0.29,-1.67,1
5.02,8.08,-3.05,-1.72,1
4.34,3.33,0.84,0.65,1
1.82,-6.78,8.39,-0.54,1
3.94,0.93,0.78,0.68,1
2.25,-5.14,4.29,-1.25,1
5.5,10.37,-4.41,-4.02,1
2.85,9.17,-3.65,-1.2,1
1.17,9.16,-2.09,-0.81,1
2.61,8.01,-0.24,-1.76,1
0.32,10.07,-1.2,-4.13,1
3.9,-4.79,3.4,-0.54,1
2.17,-0.81,5.1,-0.68,1
1.16,8.93,-2.08,-1.13,1
4.71,8.3,-2.56,-1.49,1
-1.97,11.8,-0.4,-7.87,1
4.06,0.4,1.46,0.65,1
2.37,-6.84,8.42,-0.45,1
0.34,6.84,0.7,-0.56,1
4.34,-5.3,3.88,-0.7,1
1.55,8.55,0.42,-2.18,1
1.43,8.38,-2.1,-1.97,1
-0.28,8.19,-3.13,-2.53,1
0.94,8.64,-1.64,-1.3,1
4.64,-3.01,2.68,1.21,1
1.53,-5.59,8.66,-1.72,1
0.96,2.47,4.46,0.22,1
-2.79,1.77,6.78,-0.4,1
5.2,3.51,-1.25,1.01,1
3.18,7.23,-1.07,-2.59,1
0.66,5.18,1.07,-0.42,1
5.61,10.3,-4.8,-4.35,1
1.1,7.44,0.41,-3.03,1
3.93,-2.92,2.21,0.31,1
1.16,6.4,1.55,0.7,1
2.56,2.62,1.85,0.4,1
2.78,10.98,-3.56,-4.4,1
3.76,2.78,0.66,0.34,1
-2.65,10.14,-1.33,-5.47,1
1.06,8.37,-1.4,-1.65,1
-1.43,11.88,0.42,-7.0,1
5.75,10.18,-4.79,-4.34,1
5.09,3.28,-1.27,1.12,1
3.41,5.4,-2.52,-0.9,1
-0.24,9.32,2.13,-4.38,1
3.82,8.99,-4.38,-4.03,1
-1.14,1.81,6.91,0.7,1
4.92,0.69,0.77,1.21,1
2.51,6.84,-0.03,0.45,1
-0.21,9.22,-3.7,-6.81,1
3.95,6.85,-1.54,-0.56,1
-0.28,8.19,-3.13,-2.53,1
1.86,3.21,-0.16,-0.26,1
0.57,7.63,1.58,-3.22,1
3.46,-4.45,3.54,0.15,1
3.4,1.15,2.14,2.09,1
5.04,-0.53,0.5,1.11,1
3.78,7.18,-1.52,0.4,1
4.66,7.64,-2.42,-1.24,1
4.1,-2.97,2.37,0.75,1
1.84,6.06,0.55,0.51,1
2.02,0.44,4.59,-0.32,1
3.52,0.72,1.69,0.64,1
3.76,-5.42,3.83,-1.25,1
2.6,3.52,0.76,0.81,1
1.9,0.98,4.23,0.81,1
3.69,-3.95,4.26,1.16,1
4.43,-2.35,1.7,0.91,1
6.82,5.22,-2.54,0.55,1
1.9,-2.52,2.81,-0.8,1
2.15,-6.17,8.08,-0.34,1
3.3,7.08,-1.33,0.22,1
2.72,7.05,-0.59,0.42,1
3.88,-3.03,2.53,0.2,1
4.17,-0.44,0.23,0.28,1
0.94,5.86,1.88,-0.32,1
5.13,-0.03,0.33,1.12,1
0.38,6.81,1.81,-0.61,1
3.03,-2.59,2.32,0.3,1
2.92,6.05,-0.11,-0.59,1
1.16,10.29,-1.28,-4.04,1
3.78,2.58,1.31,0.57,1
0.78,5.98,1.19,-0.35,1
-0.38,-1.05,8.05,0.5,1
0.21,9.44,-0.09,-1.86,1
2.96,-4.59,5.91,0.57,1
4.64,-3.37,2.6,0.55,1
3.36,-4.31,6.02,0.18,1
3.51,2.91,1.06,0.41,1
2.66,10.7,-3.31,-4.08,1
-1.36,10.69,1.7,-2.9,1
-0.28,8.19,-3.13,-2.53,1
1.04,-6.93,8.29,-1.3,1
2.19,2.74,1.33,-0.18,1
4.28,-2.65,2.14,0.94,1
-0.12,6.87,0.92,-0.67,1
2.97,8.79,-3.64,-1.38,1
3.78,-3.31,2.65,0.07,1
5.36,3.76,-1.73,1.08,1
1.84,6.13,0.84,0.55,1
1.23,0.9,5.76,-0.12,1
-0.05,-0.56,7.72,0.45,1
0.57,-0.02,1.24,-0.56,1
4.36,0.46,1.43,2.02,1
3.48,-4.16,3.5,-0.08,1
0.52,-3.26,3.09,-0.98,1
2.32,-2.63,3.15,-0.09,1
-1.84,11.03,3.19,-4.89,1
1.38,8.88,-1.91,-0.54,1
-0.17,5.9,0.5,-0.7,1
0.3,7.13,-0.32,-1.18,1
0.25,9.33,-3.69,-6.25,1
2.47,1.39,1.71,0.41,1
0.78,6.64,-1.14,-1.06,1
3.45,2.95,1.03,0.55,1
2.24,-4.14,5.23,-0.4,1
3.73,-3.88,3.36,-0.01,1
4.34,-3.58,3.69,0.75,1
-2.08,10.82,2.64,-4.84,1
4.07,7.64,-2.08,-1.17,1
0.76,5.82,1.2,-0.65,1
-0.54,7.33,0.47,-1.45,1
2.62,5.79,0.07,-1.58,1
3.02,-3.34,2.59,-0.55,1
5.85,5.39,-2.4,-0.06,1
0.57,-0.02,1.24,-0.56,1
3.98,11.15,-3.93,-4.34,1
1.55,9.18,-1.63,-1.74,1
0.74,0.37,2.2,0.48,1
0.5,10.22,-1.1,-4.02,1
1.64,7.86,-0.88,-3.56,1
3.61,6.86,-1.16,0.28,1
3.24,-3.71,5.28,0.41,1
3.92,10.25,-4.09,-4.47,1
3.93,6.03,-2.02,-0.07,1
5.59,10.46,-4.38,-4.34,1
3.75,-3.7,3.99,1.3,1
1.31,4.55,2.29,0.22,1
3.7,6.99,-1.85,-0.13,1
4.36,-3.1,2.38,0.78,1
3.58,1.44,1.02,1.4,1
4.65,-4.83,3.46,-0.25,1
5.17,3.96,-1.98,0.41,1
3.27,3.42,0.21,-0.07,1
2.4,1.62,3.03,0.72,1
1.73,-4.47,8.22,-1.81,1
4.8,6.99,-2.0,-0.35,1
4.1,10.19,-3.93,-4.18,1
2.56,3.36,2.03,0.27,1
3.49,8.57,-3.03,-0.59,1
0.52,-3.26,3.09,-0.98,1
2.99,7.27,-0.41,-2.24,1
4.09,5.41,-1.82,0.24,1
