V1,V2,V3,V4,V5,Class
-0.782,-0.566,0.83,1.598,-0.137,1
-0.279,0.583,0.348,-0.082,-0.137,1
-0.522,1.252,-1.319,-0.711,-0.281,1
1.265,-0.906,-0.964,-0.401,-0.011,1
-0.753,-0.359,1.39,-1.476,-1.131,1
-0.859,-1.116,-0.346,-1.375,3.032,1
-0.438,-0.651,-0.006,1.094,1.462,2
0.079,1.067,-0.128,0.095,1.817,1
0.016,1.707,-1.517,-0.023,-0.137,1
2.746,-1.802,-0.946,-0.388,-0.265,1
-0.556,-0.296,2.316,-1.47,0.542,1
0.158,0.218,0.911,0.398,1.061,2
1.26,-0.889,-0.623,-0.311,-0.4,1
-0.465,1.334,0.641,0.347,-0.137,1
-0.7,-0.705,0.306,2.254,-1.707,2
-0.387,1.419,-1.288,-0.768,-0.347,1
0.061,-0.35,0.76,0.92,2.189,2
-0.814,-0.958,-0.475,-0.9,1.434,2
-0.572,-0.198,1.382,0.833,1.676,2
1.087,0.248,0.536,-1.049,0.989,2
0.44,0.163,-0.445,-0.269,0.071,1
-0.794,-0.87,-0.005,1.522,-0.137,2
-0.146,0.533,-1.343,-0.778,-0.408,1
-0.744,-0.496,1.361,0.824,-0.137,1
-0.464,-0.24,1.664,-1.188,0.462,1
0.643,0.214,-1.137,-0.291,-0.434,1
-0.209,1.414,0.398,-0.921,-0.137,1
-0.336,0.016,0.257,0.42,-1.339,2
-0.46,-0.604,0.002,1.038,1.718,2
-0.362,1.972,-1.365,-0.171,-0.413,1
1.324,0.081,0.06,0.065,-0.582,1
-0.756,0.114,0.06,-0.083,-0.137,1
-0.543,0.669,-1.233,-0.707,-0.137,1
-0.74,-0.897,-0.271,0.902,1.786,2
1.178,1.753,-1.228,-0.713,-0.309,1
-0.185,-0.439,0.851,-1.034,0.462,2
-0.641,-0.152,1.561,-1.488,-0.697,1
1.829,-0.728,-0.942,-0.338,-0.229,1
-0.602,-0.797,1.369,0.908,2.309,2
0.438,-2.463,-1.114,-0.32,-0.286,1
1.906,-0.346,-0.085,0.565,-0.582,1
-0.676,-0.92,0.505,1.554,1.226,1
-0.546,-0.792,0.154,2.246,2.699,2
-0.312,1.233,-1.385,-0.738,-0.349,1
-0.501,-0.833,0.143,0.918,-0.137,2
-0.423,1.241,1.197,0.382,-0.646,1
-0.114,-0.889,0.115,2.038,-1.115,1
0.049,0.648,-1.141,-0.234,-0.581,1
-0.134,-0.588,0.812,1.891,-1.613,2
3.352,-0.966,-0.944,-0.604,-0.21,1
0.348,1.491,-1.201,-0.691,0.191,1
-0.85,-0.756,0.741,1.469,-0.137,1
-0.779,-0.237,-0.129,1.154,1.874,2
-0.862,-1.157,-0.391,0.952,2.708,1
-0.354,-0.942,1.026,0.827,-0.762,2
-0.617,-0.501,1.081,0.547,0.713,1
-0.69,-0.531,1.494,-1.383,0.55,1
-0.008,-0.584,1.596,-1.494,0.567,1
-0.66,1.456,-1.399,-0.064,-0.375,1
0.719,0.765,0.884,0.206,-0.424,2
-0.491,0.339,0.5,0.084,-0.603,1
0.526,0.569,-1.166,-1.008,2.458,1
-0.42,-0.844,1.291,0.888,-1.5,2
0.484,0.866,-1.214,-0.237,0.108,1
2.897,-0.888,-1.012,-0.696,0.902,1
-0.566,0.039,0.28,0.071,-0.483,1
2.61,-0.793,-0.585,-0.092,-0.29,1
-0.503,-0.923,0.949,2.933,-1.221,2
-0.562,-0.45,1.957,1.181,-1.105,1
0.059,1.188,0.958,0.298,-0.47,2
-0.477,-0.293,1.361,-1.198,-0.608,1
1.463,1.038,-0.243,0.074,0.386,1
-0.711,-0.936,-0.12,0.918,-0.137,2
-0.772,-0.145,0.839,-1.064,-0.508,1
-0.668,-0.83,-0.199,-1.163,-0.137,1
2.601,-1.753,-0.652,-0.599,-0.26,1
-0.56,-0.918,1.141,0.995,1.595,1
-0.62,-0.855,-0.074,1.863,-0.137,2
-0.712,-0.854,-0.106,1.068,4.226,1
2.865,-0.837,-0.484,0.081,0.152,1
0.345,-1.09,0.513,2.059,1.678,2
1.448,-1.036,-0.672,-0.364,0.036,1
0.574,-0.032,-0.359,-0.03,-0.815,1
-0.786,-0.642,1.068,1.002,-0.137,1
-0.637,0.608,0.705,0.132,-0.555,1
2.716,-1.843,-0.494,0.268,-0.434,1
0.211,0.564,0.135,-0.037,-1.177,1
-0.054,2.04,0.194,-0.904,0.218,1
-0.842,-0.97,-0.144,2.131,-1.693,2
-0.577,-0.402,0.36,2.535,-1.63,2
0.977,0.127,-1.045,-0.325,0.094,1
-0.802,-0.891,0.575,1.634,-1.067,1
0.361,1.121,0.056,0.315,-0.894,1
-1.075,-0.661,0.752,-0.501,-0.137,2
-0.275,2.075,0.242,-0.879,-0.402,1
-0.643,-0.626,-0.094,1.769,2.453,1
-0.623,-0.332,2.138,-1.488,-0.818,2
-0.103,1.961,-1.363,-0.738,-0.368,1
-0.653,0.142,1.211,0.502,-0.137,1
-0.501,2.27,-1.365,-0.756,-0.374,1
2.674,-0.808,-0.573,-0.594,-0.211,1
-1.043,-1.683,-0.36,-1.09,-0.137,1
1.486,-0.458,-0.971,-0.372,0.043,1
-0.034,1.096,-1.298,-0.17,-0.424,1
1.285,-0.345,-0.432,-0.122,1.864,1
0.754,-0.394,-1.012,-0.592,-0.004,1
-0.686,-0.948,-0.261,1.344,1.681,1
-0.296,2.451,-1.481,0.442,-0.606,1
-0.426,-0.801,0.654,1.863,-1.104,1
0.376,0.715,-1.205,-0.703,-0.328,1
-0.743,-0.916,1.155,-1.662,-0.809,2
-0.327,-0.228,0.812,-0.888,0.188,1
0.593,0.818,-1.355,-0.25,0.309,1
-0.786,-0.471,1.662,-1.402,-1.066,1
-1.122,0.194,1.052,-1.502,-0.137,1
-0.601,0.196,0.23,-0.09,0.135,1
-0.791,-0.308,1.586,-1.406,-0.624,1
-0.632,-0.178,1.582,0.981,-0.137,1
-0.502,1.537,-1.29,-0.828,-0.357,1
-0.83,-0.572,-0.473,0.918,1.546,2
-1.087,-0.66,0.601,1.65,-0.137,2
-0.661,-0.225,-0.348,0.092,0.636,1
0.499,1.235,-1.173,-0.698,0.29,1
-0.684,0.046,0.775,-1.106,-0.586,1
-0.239,1.437,0.507,0.194,-0.456,1
0.576,1.022,-1.303,0.044,1.633,1
-0.387,-0.167,-0.249,-1.238,1.886,2
-0.746,-1.128,-0.269,0.909,1.665,2
0.36,-0.534,-0.995,-0.364,-0.137,1
-0.664,-0.259,2.631,-1.517,-0.783,1
-0.685,0.36,0.593,0.094,-0.576,1
2.333,-1.108,-0.931,-0.386,-0.244,1
-0.711,-0.755,0.128,1.18,1.088,2
-0.773,-0.946,0.312,2.122,-1.37,1
2.856,-0.641,-0.968,-0.608,-0.227,1
-0.706,0.223,0.245,-0.076,-0.137,1
-0.664,0.045,2.113,-1.408,-0.803,1
-0.168,0.942,-0.068,-0.19,-0.347,1
-0.576,0.02,-0.232,-0.026,0.532,1
-0.271,1.35,-1.497,-0.836,-0.425,1
-0.59,-0.847,0.536,0.475,-0.137,2
0.241,1.089,-1.409,-0.242,0.301,1
-0.404,1.248,1.034,0.398,-0.658,1
-0.294,-0.465,1.312,-1.123,0.587,2
-0.805,-0.97,-0.277,2.062,-0.137,1
1.553,-0.155,-0.439,-0.633,-0.243,1
-0.706,-0.026,0.09,0.87,-0.896,1
-1.145,0.272,1.26,0.377,-0.137,1
-0.731,-0.73,-0.288,0.416,1.981,2
-0.2,-0.911,0.012,1.901,-1.177,1
-0.601,0.89,-1.311,-0.118,-0.35,1
0.188,1.298,-1.362,-0.734,-0.326,1
0.235,1.193,-1.389,-0.739,-0.346,1
-0.647,-0.058,1.836,-1.34,-0.667,1
-0.74,-0.979,0.203,2.589,-1.605,1
-2.11,-2.425,-1.144,-0.691,-0.331,1
-0.628,-0.83,-0.043,1.918,-1.496,2
-0.674,-0.225,1.753,-1.438,-0.653,1
-0.554,0.528,-0.176,-0.187,0.103,1
1.921,-1.103,-0.704,-0.398,-0.027,1
0.428,1.544,0.364,-0.069,0.2,2
1.733,0.865,-1.128,-0.682,-0.288,1
-0.63,-0.633,-0.349,0.971,-1.071,2
-0.523,-0.136,1.546,-1.178,-1.14,2
-0.732,-0.319,1.682,-1.325,-0.621,1
-0.246,1.779,-1.203,-0.711,0.115,1
0.398,-0.026,-1.084,-0.618,-0.237,1
0.545,0.917,-1.285,-1.098,1.986,1
2.058,-0.758,-0.621,-0.297,0.04,1
-0.795,-0.579,-1.457,2.323,-0.137,2
0.209,1.866,0.177,0.049,-0.386,2
-0.148,-0.093,0.973,0.356,-0.526,1
-0.026,1.102,-1.344,-0.739,-0.137,1
-0.68,-0.86,-0.414,0.66,1.512,1
-0.514,-0.538,1.758,-1.434,-1.015,2
0.016,1.39,0.822,0.047,-0.419,2
-0.776,-0.737,0.623,2.061,-0.137,1
1.997,-1.024,-0.134,0.778,-0.725,1
-0.608,-0.703,1.784,-1.491,1.635,2
-0.206,0.958,-1.279,-0.728,-0.317,1
1.993,-1.024,-0.135,0.778,-0.722,1
-0.771,-0.491,0.159,2.039,-1.334,1
0.779,0.836,-0.27,0.994,-0.708,1
-0.127,2.236,-1.252,-0.821,1.014,1
0.236,0.41,-1.095,-0.637,0.054,1
1.387,-0.221,-0.438,-0.608,-0.225,1
-0.843,-0.994,-0.435,0.182,-0.137,1
0.315,1.091,0.381,0.217,1.34,1
0.359,1.169,-1.15,-0.285,-0.415,1
2.158,-0.503,0.427,-0.888,-0.352,1
-0.222,1.662,0.263,0.005,-0.443,1
-1.134,0.452,0.626,0.277,0.51,1
0.407,1.551,-1.398,0.409,0.71,1
-0.425,-0.564,0.764,0.965,-0.827,2
-0.451,-0.756,1.314,-1.357,0.657,2
0.381,0.196,0.973,-1.084,1.332,2
-0.302,0.097,1.247,-1.114,-0.495,1
-0.796,-0.68,0.441,1.447,-0.137,2
0.882,0.41,-1.155,-0.652,0.051,1
-0.689,-0.228,1.661,0.893,-0.752,1
-0.609,-0.205,1.502,-1.249,-0.675,2
-0.652,0.181,0.241,-0.937,0.29,1
1.494,-1.061,-0.926,-0.382,-0.218,1
-0.737,-0.907,-0.514,0.37,-0.137,2
-0.867,-1.037,-0.491,0.032,-0.137,1
-0.609,-0.142,1.894,-1.723,-0.137,1
-0.524,0.064,0.692,-1.222,-0.681,2
-0.602,-0.404,1.906,-1.339,-1.039,2
-0.702,0.393,0.384,0.147,-0.137,1
-0.183,-0.467,0.644,0.538,-1.52,2
-0.777,-0.511,0.498,2.083,-0.137,1
-0.256,1.494,-1.346,-0.931,1.787,1
-0.762,-0.826,-1.564,2.038,-0.137,1
0.392,1.127,0.98,-0.894,-0.425,2
-0.697,-0.646,0.306,1.132,-1.389,2
-0.278,2.484,-1.438,-0.808,-0.391,1
2.8,-0.659,-0.967,-0.578,-0.217,1
-0.685,1.372,-0.096,1.727,-1.083,1
0.14,0.166,0.888,1.136,-0.928,2
-0.769,-1.035,-0.329,-1.255,2.981,1
0.469,-0.091,-1.027,-0.625,-0.23,1
1.86,-0.445,-0.974,-0.383,-0.198,1
-0.756,-0.998,-0.302,-1.311,3.209,1
0.416,0.958,-1.189,-0.182,-0.372,1
-0.59,-0.711,0.972,0.49,1.009,2
-0.086,1.836,-1.37,-0.814,1.4,1
-0.811,-0.819,0.176,-0.501,-0.137,2
-0.074,0.022,-1.147,-1.036,3.169,1
2.444,-0.311,-0.022,-0.686,-0.275,1
-0.476,1.052,0.557,0.549,1.635,2
0.245,0.746,-0.116,-1.043,1.87,1
-0.777,-0.868,0.168,1.573,-1.438,2
0.686,0.626,-1.198,-0.656,-0.277,1
2.632,-0.902,-0.96,-0.606,-0.013,1
-0.794,-0.789,0.396,0.338,0.808,2
2.162,-1.118,-0.34,0.733,-0.529,1
-0.785,-1.019,-0.311,2.248,-1.72,1
-0.033,1.324,-1.261,-0.199,0.148,1
-0.642,0.4,-0.057,-0.149,-0.327,1
-0.357,0.934,-1.233,0.093,2.382,1
1.28,-0.053,-0.545,-0.358,-0.252,1
0.312,-0.112,-1.12,-0.649,-0.241,1
-0.72,-0.581,0.137,1.057,-1.477,2
-0.43,0.757,-1.16,-0.221,-0.293,1
-0.852,-1.124,-0.498,0.171,-0.137,1
-0.098,1.907,0.27,-0.946,0.239,1
-0.582,-0.272,1.784,1.202,-0.137,1
-0.326,-0.827,1.385,1.065,2.571,2
-0.613,-0.236,2.02,-1.45,-0.137,1
-0.19,2.394,-1.425,0.406,0.519,2
-0.318,-0.951,1.393,0.674,2.711,2
-0.737,-0.658,-0.271,0.5,-0.137,2
-0.695,0.308,0.601,-1.146,-0.137,1
0.27,0.945,-1.287,-0.211,-0.365,1
-0.862,-1.134,0.127,-0.917,-0.864,2
-0.507,2.014,-1.398,-0.803,-0.402,1
2.406,-1.811,0.645,0.131,-0.512,1
0.201,2.03,0.074,0.313,0.41,1
-0.576,-0.109,1.388,0.695,-1.313,2
-0.329,1.911,0.263,0.066,-0.137,1
-0.61,-0.397,0.39,0.778,-0.137,2
-0.813,-0.795,0.652,2.293,-0.137,1
-0.712,-0.425,-0.028,1.558,-1.263,2
-0.06,-0.111,-0.46,-0.626,-0.249,1
-0.801,-1.108,-0.295,-1.609,-0.137,1
3.829,-0.766,-0.942,-0.559,-0.194,1
-0.726,-0.986,1.226,1.066,2.417,2
-0.706,-0.22,1.338,-1.266,-0.534,1
2.444,-0.295,-0.292,0.042,0.531,1
-0.751,-0.377,-0.272,0.876,1.402,2
-0.786,-1.086,-0.314,1.594,-0.137,1
-0.126,1.707,0.702,-1.053,-0.484,1
-0.742,-0.149,1.376,-1.204,-0.137,1
0.961,0.848,-0.2,1.072,-0.646,1
-0.743,-0.881,-0.016,1.973,-0.137,1
-0.429,0.204,-1.219,-0.749,-0.464,1
3.102,-0.917,-0.972,-0.365,0.006,1
-0.528,-0.45,0.147,1.394,-0.137,2
-0.897,-1.117,-0.462,-1.062,-1.107,1
-0.087,0.29,0.156,0.048,0.265,1
-0.816,-1.028,-0.383,0.721,2.231,1
1.292,-0.507,-0.634,-0.296,0.139,1
-0.215,2.104,-1.464,0.599,-0.708,1
0.248,1.442,-1.357,-0.149,0.917,1
-0.864,-1.582,-0.614,-0.91,-0.137,2
-0.283,-0.832,1.291,0.96,2.626,2
-0.757,0.214,0.543,0.184,-0.509,1
-0.572,-0.198,1.382,0.833,1.676,2
-0.114,0.251,1.239,0.436,2.118,2
-0.531,-0.536,0.256,1.467,-1.762,2
0.514,-0.662,-0.958,-0.36,0.053,1
2.128,-0.328,-0.987,-0.616,-0.204,1
2.937,-1.803,-0.941,-0.587,-0.226,1
-0.482,2.112,-1.485,-0.882,-0.608,1
0.158,0.218,0.911,0.398,1.06,2
-0.618,-0.014,2.265,-1.649,-0.773,1
-0.023,1.586,-1.297,-0.829,-0.563,1
1.343,1.576,-1.27,-0.12,0.212,1
-0.629,0.16,2.399,-1.444,-0.137,1
-0.839,-1.118,-0.378,0.811,-0.837,2
-0.74,-0.727,-0.051,1.888,-1.419,1
-0.126,1.398,-1.334,-0.18,0.152,1
-0.629,-0.431,1.847,-1.166,-0.669,1
-0.204,0.697,-1.372,-0.233,-0.337,1
-0.543,-0.117,0.944,0.279,-1.066,1
-1.782,-0.912,-0.646,-0.315,-0.279,1
0.32,1.283,-1.201,-0.271,-0.324,1
-1.731,-2.313,-1.249,-0.68,-0.291,1
-0.366,0.787,1.819,-1.286,-0.693,1
-0.537,-0.925,1.353,0.638,0.541,2
-0.611,-0.217,-0.02,0.894,-1.534,2
-0.666,-0.104,1.389,-1.204,0.859,1
-0.8,-0.944,-0.349,-1.125,1.736,2
-0.595,-0.064,0.795,0.214,-0.692,1
0.988,0.016,-1.085,-0.244,0.146,1
-0.83,-0.944,0.243,1.694,-0.137,1
1.854,0.04,-0.55,-0.217,-0.315,1
0.02,1.713,0.818,-0.958,-0.438,2
2.735,-0.857,-0.981,-0.285,-0.247,1
-0.644,-0.917,1.304,0.755,0.909,2
-0.624,-0.144,2.085,-1.331,1.202,2
-1.125,-0.277,1.291,0.63,-0.137,1
-0.313,1.162,-0.023,0.131,-0.767,1
-0.412,-0.893,1.584,0.678,0.886,2
-0.446,-0.758,0.215,2.396,-1.818,1
-0.431,0.9,0.145,-0.087,-0.137,1
-0.568,0.026,0.147,1.917,-1.124,2
0.703,1.375,0.254,0.194,-0.409,1
3.336,-1.054,-0.935,-0.588,-0.046,1
2.797,-0.88,-0.99,-0.3,-0.241,1
3.315,-0.514,-0.997,-0.61,-0.233,1
0.43,1.723,-1.334,-0.735,0.542,1
0.123,1.227,-1.267,-0.682,-0.282,1
-0.307,1.102,-1.19,-0.25,-0.39,1
-0.698,-0.818,-0.189,1.241,-0.137,2
1.545,-0.963,-0.654,-0.339,-0.378,1
-0.596,1.59,-1.385,-0.16,0.165,1
0.183,-0.472,1.448,0.41,0.504,1
-0.717,-0.813,1.942,-1.316,0.555,1
-0.535,-0.237,1.735,-1.482,-0.82,1
-0.471,-0.801,0.241,0.886,-0.137,2
-0.848,-1.056,-0.289,-1.873,-0.137,1
1.633,-0.024,-0.446,-0.316,-0.301,1
1.709,0.074,-0.074,-0.715,0.218,1
0.843,0.864,-1.132,-0.659,0.043,1
-0.145,0.78,-1.118,-0.662,-0.259,1
2.841,-0.716,-0.636,-0.36,-0.251,1
-0.19,0.242,1.082,0.364,-0.577,1
-0.463,0.277,0.645,1.702,-0.137,2
-0.73,0.394,1.674,-1.371,-0.137,1
-0.725,0.886,1.196,-1.254,-0.544,1
-0.514,0.562,0.339,-1.059,-0.137,1
0.072,1.039,-0.236,-0.116,-0.543,1
0.17,0.069,-1.145,-0.653,-0.253,1
2.442,-0.846,-0.962,-0.344,-0.24,1
-0.694,-0.895,0.313,0.879,-0.137,2
-0.666,-0.721,0.035,1.658,1.561,1
-0.829,-1.157,-0.462,1.289,2.995,1
0.46,0.538,-1.088,-0.636,0.037,1
-0.213,-0.54,1.276,0.424,0.492,1
-0.56,-0.202,2.189,-1.535,-0.798,1
-0.83,-1.024,0.076,0.301,-0.137,2
-0.673,0.735,-0.297,-0.159,-0.316,1
-0.733,-0.897,0.138,1.735,-1.017,1
-0.558,-0.59,1.726,0.624,0.758,1
-0.702,-0.543,0.029,1.699,-0.137,2
-0.058,1.454,-1.261,-0.199,0.146,1
-0.689,-0.758,0.952,-2.031,-0.867,1
-0.797,-0.768,0.625,2.362,-0.137,1
0.059,1.305,-1.336,-0.75,-0.357,1
-0.72,0.344,0.07,-0.095,0.181,1
-0.639,-0.696,1.148,0.802,-0.929,1
-0.772,-0.683,0.599,0.646,-0.137,2
0.642,-0.345,-0.015,0.301,0.427,2
2.918,-0.67,-0.97,-0.613,-0.235,1
-0.539,-0.152,1.879,-1.352,-0.735,2
-0.769,-0.271,1.197,-1.465,-1.096,1
-0.493,-0.861,0.226,0.711,-0.137,2
-0.426,0.283,1.022,0.703,1.581,2
-0.318,-0.596,1.362,-1.259,-0.768,2
-1.084,-0.274,-1.06,0.269,-0.475,1
-0.54,0.287,0.547,-0.998,-0.472,1
1.46,-1.165,-0.945,-0.398,-0.28,1
1.54,0.406,0.303,-0.867,-0.369,1
-0.207,2.044,-1.395,-0.756,-0.387,1
2.228,-0.9,-0.952,-0.398,-0.207,1
0.48,0.347,1.445,-1.014,-0.518,2
-0.777,-1.084,-0.34,-1.264,2.956,1
0.448,-0.564,-0.556,-0.632,0.075,1
0.807,0.939,-0.214,0.339,0.709,1
0.367,-0.443,-0.98,-0.413,-0.001,1
-0.797,-0.679,0.933,0.768,0.837,1
-0.727,-0.064,0.791,-1.043,-0.137,1
1.301,-0.483,-0.607,-0.307,0.058,1
-0.859,-0.831,-0.54,0.253,-0.137,2
0.596,0.2,-0.111,1.532,-0.948,1
-0.534,0.831,-0.05,-0.1,-0.452,1
-1.169,-2.25,-1.693,-1.304,-0.692,1
-0.654,-0.801,-0.137,1.073,1.905,1
-0.344,0.884,-0.174,-0.035,-0.675,1
-0.513,0.487,0.064,0.008,-0.438,1
0.154,1.36,-1.25,0.05,1.469,1
-0.313,0.789,-1.347,-0.761,-0.359,1
2.291,-1.795,-0.693,-0.363,-0.026,1
-0.546,1.62,-1.403,-0.827,-0.373,1
-0.814,-1.033,-0.38,0.751,-0.137,1
-0.246,1.777,-1.298,-0.189,-0.602,1
-0.746,0.27,0.434,0.254,-0.137,1
-0.518,-0.005,0.477,0.222,-0.51,1
-0.325,-0.417,1.722,-1.509,-0.681,1
1.262,0.014,-1.09,-0.348,0.034,1
-0.166,0.147,1.217,0.476,1.449,2
-0.395,-0.254,1.242,-1.056,-0.52,1
-0.684,-0.868,0.115,1.957,-0.137,2
-0.477,0.969,0.332,0.034,-0.639,1
-0.234,-0.44,0.724,1.024,-0.742,2
-0.511,1.489,0.298,-1.085,-0.137,1
0.814,0.179,-1.074,-0.332,-0.275,1
-0.202,-1.035,0.845,0.498,1.114,2
-0.618,0.789,1.244,-1.276,-0.137,1
2.815,-0.867,0.344,-0.83,-0.303,1
0.37,1.31,0.756,-0.877,-0.428,2
0.01,1.026,-1.352,-0.758,-0.392,1
-0.189,1.491,0.455,0.606,-0.555,2
1.758,-0.795,-0.942,-0.404,-0.203,1
0.213,0.14,0.901,1.032,-1.06,2
-0.345,-0.524,1.087,1.093,1.181,2
-0.689,0.112,0.539,-0.991,0.291,1
0.269,0.85,-0.164,1.434,-0.76,1
2.983,-0.814,-0.589,-0.246,0.846,1
-0.828,-1.12,-0.409,-1.334,-1.902,1
-0.715,0.205,0.229,-0.091,0.208,1
-0.575,-0.588,1.442,0.436,0.568,1
0.23,2.01,-1.251,-0.699,-0.376,1
-0.714,0.163,0.647,0.137,-0.443,1
-0.859,-1.022,-0.418,-1.275,2.565,1
0.6,-0.234,0.51,0.892,1.048,1
-0.532,0.474,1.713,-1.299,-0.137,1
-0.232,-0.149,1.45,1.713,-0.137,2
0.572,1.415,-1.188,-0.686,-0.316,1
-0.839,-1.086,-0.217,0.613,3.098,2
-0.467,-0.771,1.493,0.762,-1.581,2
-0.657,-0.212,2.236,-1.474,-0.137,1
-1.086,-2.063,-1.746,-1.528,-0.933,2
-0.814,-1.129,-0.148,1.41,1.486,1
-0.771,-0.972,0.078,1.888,-1.656,1
-0.586,0.148,0.624,-1.004,-0.49,1
-0.609,-0.792,-0.228,0.81,2.037,2
-0.694,-0.763,0.812,0.276,-0.137,2
0.052,0.289,-1.087,-0.664,0.032,1
-0.744,0.616,1.392,-1.33,-0.572,1
0.033,0.538,-0.268,-0.108,-0.696,1
0.22,1.863,-1.285,0.029,0.935,1
2.476,0.348,-1.093,-0.622,-0.252,1
-0.599,-0.298,0.009,1.848,2.176,2
0.447,1.742,0.193,-0.108,-0.381,1
0.703,1.2,-1.425,-0.765,0.061,1
-0.084,-0.783,0.666,1.93,1.957,2
-0.456,0.334,-0.204,-0.744,-0.35,1
-0.445,0.207,-0.284,-0.12,-0.137,1
-0.322,-0.035,0.765,1.887,-1.076,2
0.939,0.443,-0.406,-0.669,0.08,1
-0.678,-0.288,1.682,-1.567,-0.137,1
-0.59,1.031,-1.188,-0.731,-0.325,1
-0.86,-1.032,-0.229,0.666,-0.137,1
-0.445,1.928,-1.45,0.968,-0.805,1
-0.783,-0.519,0.832,1.64,-0.137,1
-0.599,1.836,-1.284,-1.043,1.997,1
0.272,1.19,-1.295,-0.735,1.156,1
1.619,0.065,-0.348,0.164,1.157,1
-0.439,-0.601,-0.355,0.856,1.594,2
0.62,1.605,0.224,-0.758,-0.346,2
-0.704,-0.068,-0.058,1.269,1.191,2
-0.119,0.797,0.214,-0.823,0.227,1
1.49,-0.435,-1.015,-0.387,-0.269,1
-0.662,-0.891,1.544,0.543,0.934,1
-0.295,2.002,-1.501,-0.014,-0.452,1
1.511,0.455,0.235,-0.88,-0.361,1
-0.832,-0.935,0.31,2.403,-0.137,1
-0.738,-0.384,1.655,-1.269,-0.585,1
-0.787,-1.263,0.113,-1.124,-1.556,2
-0.489,2.254,-1.377,-0.767,-0.382,1
-1.227,-0.626,0.109,1.318,-0.137,2
