GLCM_Pan,Mean_G,Mean_NIR,SD_Plan,class
129.36,207.26,464.72,26.64,2
141.57,199.24,364.18,15.22,2
127.22,190.32,383.39,19.67,2
118.12,217.89,443.11,18.38,2
138.61,213.6,421.0,18.3,2
134.3,210.6,436.19,21.03,2
142.87,228.68,674.96,32.4,1
143.5,211.61,612.35,29.53,1
135.72,238.92,741.27,20.84,1
112.82,236.92,705.84,22.67,1
111.21,233.1,729.78,23.67,1
124.96,226.7,686.44,27.87,1
115.85,235.89,757.21,19.6,1
124.97,218.1,595.86,40.78,1
130.71,169.53,187.68,8.88,1
113.46,244.26,735.52,34.58,1
130.12,230.23,689.35,16.02,1
120.41,216.32,617.32,29.4,1
127.22,219.43,588.86,17.27,1
128.94,196.0,437.0,27.34,1
133.36,166.0,247.0,14.1,1
127.4,200.33,486.17,26.02,1
137.92,231.33,641.87,40.49,1
105.1,206.8,564.2,21.3,1
132.39,203.73,531.87,53.6,1
107.58,213.31,514.15,45.35,1
127.77,187.0,310.14,15.44,1
124.02,170.93,217.84,13.34,1
132.3,203.41,495.41,36.94,1
153.54,204.0,452.0,1.7,1
125.74,169.2,206.41,7.41,1
140.86,175.75,293.0,6.02,1
132.59,164.68,177.9,8.12,1
138.24,198.25,445.39,27.26,1
136.25,191.69,441.76,20.39,1
130.01,199.18,520.64,12.19,1
120.87,226.39,746.81,16.68,1
144.34,174.4,302.1,10.07,1
106.34,231.8,726.4,28.67,1
141.35,224.44,668.67,30.06,1
128.18,206.5,456.88,23.22,1
127.48,206.82,525.43,18.8,1
130.77,217.0,648.4,24.68,1
123.85,213.27,645.27,34.32,1
122.67,183.33,390.78,20.08,1
119.15,200.0,488.62,29.79,1
111.15,193.06,493.82,33.47,1
109.64,206.56,463.56,20.26,1
127.92,218.87,679.57,19.8,1
135.18,177.0,406.44,16.31,1
138.23,214.42,730.81,26.14,1
136.76,195.7,511.26,15.83,1
93.69,220.86,677.0,8.73,1
106.36,218.63,719.59,19.92,1
139.23,211.0,588.67,18.67,1
183.28,204.0,475.5,1.0,1
113.98,188.72,456.0,16.63,1
98.42,210.29,628.0,17.78,1
149.31,206.67,607.67,27.37,1
125.57,222.71,775.13,21.64,1
111.44,206.59,631.79,25.2,1
109.21,220.0,757.42,19.73,1
139.5,201.21,568.21,22.32,1
130.86,201.78,471.84,16.22,1
141.58,213.0,721.78,40.47,1
106.29,197.5,541.5,27.58,1
133.61,178.5,347.29,18.84,1
140.39,204.0,583.0,21.86,1
134.62,216.93,714.71,12.61,1
142.68,210.28,628.33,25.66,1
139.66,211.55,679.82,13.61,1
140.75,213.68,756.37,10.73,1
138.65,203.2,641.2,39.85,1
143.24,186.71,467.57,27.1,1
130.59,192.78,540.5,24.08,1
117.6,220.95,673.18,10.25,1
112.66,212.4,773.6,24.34,1
122.06,213.29,557.0,22.68,1
124.75,229.65,806.18,6.5,1
122.19,200.33,631.0,22.22,1
136.54,200.58,450.74,16.12,1
123.29,205.7,481.09,17.8,1
100.36,230.2,821.6,17.06,1
113.28,195.0,467.42,27.28,1
127.68,221.45,768.45,28.99,1
92.76,206.4,717.2,26.23,1
119.06,227.73,744.37,19.16,1
94.88,223.25,753.5,13.16,1
111.3,199.7,612.6,23.34,1
159.87,196.38,469.0,17.33,1
162.1,221.0,612.0,11.76,1
143.0,210.84,717.9,37.1,1
132.87,198.92,549.54,26.32,1
148.65,192.93,528.86,17.55,1
124.54,214.18,575.78,20.2,1
121.13,220.42,767.0,23.22,1
121.18,203.18,592.45,45.62,1
137.72,201.3,484.97,20.55,1
126.64,221.75,591.08,12.27,1
128.52,192.62,589.25,18.74,1
116.98,224.5,663.24,20.16,1
135.91,212.57,677.86,27.05,1
116.94,201.16,639.05,13.9,1
119.48,199.65,545.26,47.96,1
111.98,202.18,680.12,10.81,1
118.04,205.55,625.67,36.94,1
130.68,174.99,312.74,12.14,1
131.5,200.89,631.48,28.36,1
117.7,197.94,604.86,17.21,1
117.4,183.0,399.41,21.05,1
130.29,193.76,522.53,28.65,1
149.56,201.0,629.5,25.78,1
133.23,181.36,390.75,12.35,1
110.29,199.28,622.06,34.92,1
136.45,204.44,665.72,23.85,1
120.5,195.12,558.75,39.47,1
136.6,183.19,444.86,13.19,1
133.24,194.04,554.07,19.81,1
130.25,183.2,440.27,13.26,1
140.98,186.5,476.0,23.0,1
125.52,202.92,575.32,21.08,1
112.03,211.04,634.43,23.24,1
118.9,196.55,516.42,26.56,1
119.54,195.31,519.35,21.71,1
130.51,205.0,641.0,10.69,1
136.32,190.51,439.28,15.01,1
127.31,178.06,352.43,22.08,1
141.56,195.44,492.56,25.69,1
147.55,187.75,561.5,8.15,1
117.44,194.54,448.96,9.48,1
126.93,194.95,493.24,24.07,1
99.85,189.22,521.67,18.3,1
120.31,190.44,431.98,17.11,1
140.26,181.9,410.21,16.08,1
142.81,187.36,442.94,16.44,1
148.91,181.0,451.4,18.66,1
113.19,184.8,383.7,24.98,1
137.15,186.41,392.62,17.11,1
108.14,181.0,453.8,27.73,1
137.12,187.75,493.08,15.96,1
133.43,190.57,586.05,21.83,1
100.32,185.67,527.0,20.0,1
146.27,187.29,547.41,14.99,1
133.48,196.86,580.09,15.1,1
118.55,195.53,505.12,36.02,1
147.22,183.67,420.22,13.11,1
95.53,197.1,565.1,18.06,1
125.32,182.86,449.73,14.32,1
113.94,193.34,596.31,17.28,1
116.47,194.86,599.43,24.11,1
134.47,195.79,526.29,26.27,1
139.9,191.7,456.3,12.67,1
128.82,177.93,296.06,12.15,1
120.31,189.2,418.1,34.5,1
119.88,184.46,468.54,35.33,1
113.05,253.04,794.93,27.21,1
140.28,253.71,777.67,23.21,1
117.32,257.03,756.36,18.73,1
109.49,246.28,824.17,21.58,1
115.21,251.73,763.17,15.33,1
116.01,254.0,813.44,10.79,1
138.3,256.49,805.9,18.94,1
141.56,252.0,696.25,21.99,1
127.27,245.43,786.94,19.69,1
133.14,228.27,632.76,31.1,1
118.1,251.68,766.2,31.53,1
109.47,216.5,611.0,18.22,1
135.04,194.73,414.85,17.75,1
124.23,210.33,457.0,17.21,1
135.21,202.62,388.02,27.49,1
126.72,215.41,610.06,38.8,1
117.87,198.7,433.8,18.35,1
148.05,196.75,481.0,18.39,1
125.83,216.39,532.14,22.46,1
134.24,209.3,580.53,28.84,1
111.87,193.67,484.83,28.31,1
112.45,246.2,699.6,25.9,1
149.75,245.0,685.5,27.5,1
118.09,200.0,518.0,22.0,1
122.82,237.86,615.71,17.34,1
140.67,208.71,484.43,15.4,1
137.2,215.62,464.62,24.02,1
112.76,184.0,375.42,26.52,1
112.12,209.44,637.08,31.04,1
109.38,202.0,302.0,16.5,1
127.64,225.36,669.64,25.89,1
137.1,212.84,600.59,29.69,1
132.87,196.92,388.75,14.85,1
108.55,214.36,589.09,13.67,1
97.38,228.39,674.0,7.4,1
122.81,207.97,421.42,17.37,1
142.7,221.18,538.36,11.58,1
133.19,220.33,587.33,12.31,1
106.79,226.71,674.5,26.88,1
110.66,197.5,459.0,15.99,1
119.36,223.07,569.52,25.07,1
143.93,215.89,645.68,31.6,1
156.08,228.0,725.0,24.83,1
136.09,221.32,507.05,13.46,1
113.41,223.46,716.17,24.92,1
124.11,222.48,495.98,18.41,1
108.99,232.67,763.11,16.18,1
139.43,216.5,724.5,11.83,1
127.43,189.61,318.98,18.32,1
109.5,223.57,645.57,18.04,1
141.2,220.0,643.67,37.42,1
147.55,188.79,302.68,11.63,1
116.6,226.73,677.64,20.67,1
114.67,194.16,338.42,15.19,1
140.26,233.7,717.09,33.26,1
99.27,234.6,676.0,23.55,1
130.23,192.52,367.48,13.05,1
126.53,193.05,422.1,17.32,1
129.19,224.04,591.96,16.8,1
121.02,230.87,605.7,21.82,1
96.58,249.16,763.84,20.51,1
116.63,243.26,705.17,23.63,1
116.43,226.12,640.72,27.1,1
132.12,201.88,385.18,23.07,1
120.27,247.1,823.98,27.26,1
119.8,229.54,655.08,36.68,1
113.08,215.22,552.28,25.29,1
137.93,236.69,754.75,34.56,1
139.83,238.56,762.33,45.29,1
135.13,207.51,414.37,17.5,1
147.45,202.64,549.77,19.93,1
132.53,219.16,682.51,24.21,1
139.74,217.62,640.0,33.56,1
124.54,191.42,299.53,12.29,1
110.6,207.46,456.12,14.41,1
134.49,203.82,564.62,19.23,1
156.44,237.86,828.14,19.56,1
97.82,222.2,668.8,19.47,1
140.52,224.83,624.11,28.38,1
132.26,233.0,616.33,17.85,1
146.92,251.33,770.93,31.88,1
136.84,224.11,651.22,22.02,1
141.21,189.82,279.35,13.41,1
143.43,222.12,498.76,14.97,1
116.24,206.13,450.63,17.33,1
158.68,208.29,438.07,8.36,1
127.66,203.1,420.5,39.23,1
134.91,221.4,613.8,14.39,1
103.18,215.25,566.25,28.31,1
119.34,227.57,717.86,28.6,1
138.81,222.49,581.28,34.07,1
114.99,213.78,587.69,31.78,1
137.55,203.51,431.98,19.07,1
134.92,206.14,480.43,12.69,1
113.67,205.31,550.08,22.1,1
100.24,214.6,603.8,11.63,1
116.59,219.54,559.35,20.47,1
126.83,232.75,636.75,19.7,1
106.94,252.48,792.26,14.38,1
125.49,255.32,814.72,21.55,1
140.54,243.64,749.82,37.56,1
112.1,236.5,742.5,17.06,1
143.21,207.2,413.4,15.29,1
128.58,201.6,454.65,20.64,1
117.26,242.87,798.5,11.04,1
123.34,208.24,474.76,39.02,1
155.06,220.0,555.0,10.5,1
113.59,216.15,474.54,27.01,1
113.82,218.24,655.06,16.9,1
126.12,231.53,735.07,15.51,1
138.88,209.56,526.44,29.73,1
137.64,192.75,426.21,15.26,1
115.02,226.42,709.62,27.14,1
148.96,220.6,663.2,18.11,1
132.8,203.0,451.73,10.25,1
120.52,217.53,463.6,12.36,1
139.22,196.58,444.42,17.28,1
115.06,214.78,662.24,33.23,1
129.29,217.87,585.4,16.91,1
121.94,207.06,637.75,18.75,1
114.58,229.34,683.37,27.29,1
140.61,210.5,564.5,30.28,1
138.66,210.0,657.0,42.2,1
134.67,225.47,654.47,29.77,1
118.06,195.4,489.0,15.55,1
160.06,237.67,771.33,18.66,1
88.99,218.43,617.0,9.01,1
132.71,214.86,581.5,31.91,1
131.38,222.35,621.75,41.42,1
112.57,217.28,651.0,29.19,1
121.04,215.96,617.62,23.56,1
129.47,206.0,570.05,24.91,1
112.0,229.4,632.07,18.59,1
129.13,231.22,552.56,7.96,1
136.33,218.56,712.78,16.99,1
132.2,246.88,804.88,20.57,1
135.52,200.44,515.89,12.66,1
122.91,203.0,517.0,26.07,1
113.09,236.0,726.42,17.16,1
140.36,219.36,615.95,33.72,1
118.44,213.38,641.72,28.06,1
132.55,208.74,583.39,20.6,1
156.59,250.0,811.78,9.25,1
126.87,218.24,663.57,32.21,1
99.46,245.22,788.33,6.71,1
156.29,215.5,619.6,12.84,1
131.72,219.5,653.25,30.86,1
138.81,202.0,447.0,27.22,1
117.03,194.46,441.23,46.75,1
105.67,229.17,791.0,21.29,1
133.85,236.41,796.23,28.97,1
133.45,210.95,559.45,31.37,1
109.46,209.1,562.67,25.52,1
140.9,195.3,498.0,12.92,1
130.98,220.92,649.25,16.7,1
123.83,218.3,650.78,24.96,1
138.96,209.6,508.4,11.69,1
130.69,237.14,786.41,23.92,1
105.64,242.82,762.0,35.86,1
137.09,205.89,562.23,24.13,1
111.96,199.81,520.56,29.57,1
138.95,211.27,549.64,24.55,1
141.56,214.25,717.3,36.64,1
109.58,234.77,819.69,19.56,1
113.55,234.36,723.46,30.28,1
110.56,235.5,774.33,16.7,1
126.23,239.0,778.75,20.08,1
141.56,201.0,467.5,27.8,1
138.14,186.8,351.0,15.89,1
141.38,211.88,621.94,15.78,1
124.66,222.92,764.58,29.61,1
143.61,240.62,742.03,43.26,1
101.7,227.0,697.0,38.58,1
122.04,217.96,617.28,19.18,1
111.02,238.91,777.7,21.19,1
144.16,187.67,422.75,16.69,1
147.13,239.85,804.42,24.18,1
135.35,193.05,459.0,17.74,1
122.05,246.38,851.41,23.54,1
125.69,232.64,700.73,15.13,1
142.71,235.48,702.56,28.72,1
141.54,217.27,572.18,7.97,1
137.09,229.67,724.33,29.48,1
114.16,235.25,747.38,34.62,1
138.46,218.48,666.26,27.87,1
115.73,235.33,728.33,27.27,1
123.9,225.0,594.65,25.82,1
108.96,231.82,713.44,21.9,1
117.82,235.36,873.26,21.86,1
121.3,225.5,773.33,32.3,1
124.35,223.08,665.1,25.58,1
132.02,221.44,764.0,24.12,1
122.99,244.08,732.4,20.35,1
142.23,238.17,917.5,12.54,1
134.3,214.13,629.57,31.06,1
124.96,204.0,498.0,13.06,1
89.09,230.0,739.2,10.24,1
128.02,243.0,827.5,14.86,1
133.05,216.29,537.14,20.78,1
127.48,242.4,785.13,25.69,1
152.65,231.22,778.89,22.2,1
123.07,233.88,789.65,23.74,1
145.62,243.62,816.46,29.46,1
114.51,229.28,743.17,25.43,1
153.49,208.75,501.75,15.79,1
141.91,232.0,679.14,39.18,1
148.9,229.0,751.0,30.1,1
138.81,237.14,737.86,34.88,1
143.01,216.31,537.08,27.25,1
150.54,223.14,655.43,27.78,1
115.53,211.0,465.0,37.75,1
119.3,229.17,660.25,34.22,1
137.79,218.0,543.75,13.1,1
126.99,214.4,563.1,31.17,1
144.96,216.86,622.14,24.67,1
124.34,235.67,642.12,26.94,1
113.97,231.12,670.88,32.24,1
130.6,217.03,560.66,24.12,1
109.8,226.33,662.33,17.11,1
145.47,219.2,695.8,15.18,1
136.24,224.57,664.14,22.71,1
165.2,218.11,655.89,22.42,1
157.86,215.5,571.75,15.2,1
116.31,210.14,574.24,22.34,1
94.12,247.0,865.0,14.15,1
145.18,218.47,571.53,27.52,1
71.72,209.0,565.0,7.0,1
112.69,225.96,666.67,34.05,1
108.59,232.9,671.2,30.45,1
131.84,227.64,655.75,23.55,1
142.34,212.0,552.89,30.73,1
139.86,217.86,569.86,32.0,1
110.22,220.17,671.67,18.27,1
148.62,221.0,663.29,30.35,1
105.87,220.77,686.54,27.06,1
137.45,228.2,659.4,20.6,1
117.48,212.41,611.12,34.98,1
131.05,244.43,767.79,13.04,1
137.28,239.0,709.1,37.16,1
134.62,211.57,626.1,19.42,1
119.13,232.58,675.17,26.57,1
127.56,229.06,764.13,28.53,1
120.71,247.39,851.31,16.9,1
129.46,215.81,589.83,24.59,1
129.43,184.72,373.31,19.06,1
140.3,184.04,291.96,9.05,1
142.5,210.43,543.14,24.31,1
140.41,225.67,690.11,29.51,1
138.96,207.29,472.25,21.2,1
138.9,208.29,503.37,23.4,1
131.14,195.1,461.4,24.22,1
114.9,212.17,560.67,27.21,1
120.8,216.4,613.92,31.76,1
129.13,221.94,651.61,22.77,1
113.26,217.63,562.03,24.96,1
149.82,223.42,610.42,21.98,1
105.81,198.0,413.0,12.22,1
126.98,201.65,487.24,19.79,1
138.38,206.18,527.82,18.55,1
126.68,202.74,495.0,22.8,1
126.68,230.72,720.09,18.33,1
142.11,207.62,510.83,17.5,1
120.9,205.37,533.27,16.17,1
122.99,206.42,590.79,25.47,1
105.36,211.36,620.32,20.36,1
114.12,211.75,557.5,21.47,1
143.64,206.8,528.94,25.76,1
133.83,202.91,508.55,15.47,1
167.91,213.0,639.0,8.11,1
129.12,215.77,657.54,17.45,1
124.1,208.81,587.19,17.43,1
124.89,232.24,721.33,21.6,1
135.69,208.43,584.14,15.21,1
131.12,202.8,514.23,25.92,1
133.34,215.92,690.83,18.19,1
116.01,214.09,666.45,28.69,1
181.38,198.67,491.67,2.62,1
135.74,226.76,754.68,20.04,1
119.92,230.5,774.86,17.65,1
151.38,198.75,499.5,18.2,1
167.0,230.0,753.5,9.28,1
138.99,220.5,627.09,38.39,1
140.12,200.87,539.67,31.16,1
133.16,211.73,609.82,23.82,1
100.79,236.0,726.85,21.34,1
145.6,223.82,660.59,42.48,1
117.47,247.83,844.83,17.66,1
129.82,229.45,691.9,21.74,1
138.12,212.0,552.83,37.23,1
116.36,218.26,597.63,28.65,1
150.66,241.2,752.5,29.23,1
140.98,222.0,509.0,31.61,1
138.39,214.33,606.33,38.68,1
152.91,234.6,821.2,34.4,1
117.19,213.58,519.17,33.19,1
112.81,251.73,806.0,32.58,1
112.29,209.47,481.8,33.0,1
139.01,198.92,344.38,24.72,1
137.77,242.64,917.27,11.13,1
123.52,259.0,936.25,16.76,1
119.28,239.34,727.19,17.33,1
120.9,212.83,584.35,33.81,1
150.88,210.36,625.36,14.94,1
102.7,209.0,453.75,36.57,1
138.81,211.76,428.41,23.91,1
113.85,221.33,504.33,7.87,1
117.6,213.64,618.0,27.02,1
146.39,232.55,639.64,21.96,1
130.58,223.94,665.9,28.11,1
134.33,203.56,491.17,23.47,1
136.46,213.25,501.0,26.97,1
133.15,218.96,668.23,20.43,1
132.04,191.7,543.4,23.2,1
160.15,275.0,980.0,12.5,1
141.36,205.86,471.86,15.53,1
136.41,202.0,549.0,42.24,1
129.47,204.22,449.44,29.35,1
141.14,204.35,425.12,18.01,1
121.26,258.5,839.75,31.37,1
135.69,257.2,822.03,42.98,1
138.37,206.8,372.6,20.06,1
119.81,218.0,491.33,38.1,1
146.49,244.1,760.1,27.95,1
125.15,233.5,852.0,29.86,1
110.05,272.4,981.6,9.26,1
137.28,199.36,413.91,15.42,1
124.71,218.0,783.0,9.43,1
143.42,189.82,430.29,9.46,1
131.52,192.71,393.0,27.04,1
121.38,247.0,930.0,25.28,1
111.78,243.95,753.75,22.93,1
117.64,221.78,653.33,32.96,1
107.36,210.2,512.2,26.45,1
115.45,225.49,709.74,28.95,1
94.59,195.2,457.4,23.49,1
115.28,228.75,798.75,14.51,1
116.29,222.0,509.0,25.75,1
111.07,225.16,618.84,36.92,1
126.76,201.65,494.47,23.84,1
136.57,203.47,476.4,21.97,1
126.51,223.79,597.93,29.4,1
125.68,216.38,644.08,24.31,1
138.18,243.1,799.83,24.74,1
134.01,208.8,465.2,17.45,1
127.65,229.16,677.08,19.67,1
111.61,237.5,757.5,23.4,1
122.79,263.25,862.25,25.0,1
128.57,273.61,1005.52,14.62,1
127.49,222.07,604.67,19.43,1
145.74,215.33,559.33,17.57,1
127.0,216.81,692.43,27.66,1
130.49,187.59,455.53,24.75,1
128.06,203.68,548.11,30.2,1
137.41,222.85,548.15,40.44,1
119.53,211.89,537.52,31.8,1
142.54,213.93,628.14,35.22,1
118.97,244.0,858.22,29.16,1
119.63,273.83,935.58,20.45,1
130.11,239.62,818.06,14.2,1
146.83,241.8,675.3,39.79,1
133.08,243.81,669.33,22.67,1
140.71,198.2,337.73,14.87,1
126.12,201.59,463.88,17.68,1
134.39,208.7,557.45,26.02,1
126.65,243.08,665.62,26.19,1
128.14,214.71,535.2,15.89,1
144.86,207.26,520.19,14.38,1
155.52,220.4,734.2,18.29,1
120.17,227.88,744.92,27.29,1
103.66,229.5,797.5,15.97,1
125.6,218.14,672.36,27.83,1
141.61,232.0,838.29,32.74,1
154.53,230.0,673.0,22.78,1
113.1,248.6,669.6,19.66,1
125.06,225.63,647.87,28.32,1
145.06,252.8,801.4,14.55,1
131.29,240.71,786.54,14.7,1
132.88,242.0,675.0,45.5,1
143.68,202.38,435.54,16.53,1
120.47,254.05,766.26,33.12,1
142.77,234.32,569.84,31.87,1
116.65,248.43,799.71,29.23,1
128.68,258.8,838.6,17.61,1
126.52,218.77,607.36,24.22,1
120.18,241.0,828.75,32.26,1
130.55,227.97,763.0,27.45,1
106.51,221.0,689.5,25.06,1
128.33,202.15,442.2,38.44,1
115.81,246.15,804.55,17.33,1
117.37,268.33,950.67,6.33,1
94.94,208.0,526.2,23.45,1
102.17,218.78,527.67,21.21,1
116.01,234.71,788.12,20.01,1
106.6,230.1,679.1,15.28,1
138.6,247.61,730.82,29.94,1
143.16,226.25,611.25,28.9,1
123.44,219.15,594.0,26.9,1
137.89,216.64,587.45,24.04,1
134.92,196.58,338.53,18.28,1
120.09,246.69,788.75,22.17,1
109.92,216.4,506.6,25.7,1
128.25,217.82,582.28,28.99,1
119.83,257.0,865.28,21.6,1
124.98,244.18,802.82,24.21,1
144.45,229.67,729.48,29.93,1
111.63,228.9,743.9,18.8,1
103.6,260.44,887.22,13.82,1
119.21,259.7,861.8,36.23,1
122.62,255.02,809.68,19.29,1
131.4,206.97,413.9,22.27,1
124.94,210.24,515.07,24.2,1
126.66,238.05,738.78,22.26,1
137.47,262.64,920.5,11.52,1
103.54,263.4,894.6,16.7,1
138.16,230.62,662.62,35.34,1
135.22,217.0,636.0,22.56,1
126.1,240.0,738.67,23.88,1
111.31,268.0,887.0,20.42,1
125.42,233.78,682.11,24.07,1
94.68,246.88,766.62,25.55,1
137.1,249.11,788.11,35.05,1
112.17,230.71,650.57,40.69,1
148.82,228.11,632.22,25.7,1
119.52,222.69,653.03,24.34,1
115.7,227.67,694.17,15.3,1
131.31,236.5,702.0,42.09,1
133.54,208.73,474.47,25.79,1
135.78,242.0,761.0,22.28,1
162.05,248.0,814.0,24.81,1
146.05,261.0,789.0,25.78,1
149.85,202.85,449.69,14.67,1
135.18,193.34,403.9,18.57,1
100.94,250.0,800.0,17.45,1
93.5,253.75,817.88,16.53,1
116.4,235.73,729.96,33.74,1
138.96,206.59,468.18,18.41,1
117.1,202.46,541.46,36.9,1
156.24,240.0,726.0,29.63,1
122.16,246.0,746.61,22.23,1
110.42,231.82,694.91,10.64,1
117.0,214.34,560.21,24.35,1
129.09,235.14,595.0,13.19,1
129.16,210.75,476.25,21.54,1
115.93,199.96,429.04,39.84,1
128.24,230.89,676.89,23.48,1
145.54,202.0,325.0,18.81,1
135.22,210.3,490.4,30.36,1
119.0,190.0,434.0,23.08,1
135.71,208.0,392.0,34.65,1
137.44,223.0,583.0,15.2,1
118.1,227.33,673.0,27.92,1
136.88,219.78,603.37,18.67,1
165.72,222.0,608.0,11.28,1
137.83,222.0,709.0,35.3,1
106.98,213.0,498.0,24.56,1
138.53,196.44,371.51,16.5,1
132.55,215.25,662.5,16.6,1
121.54,233.69,708.76,23.38,1
99.56,249.8,765.8,21.75,1
135.06,190.75,276.5,21.95,1
144.02,196.75,427.25,13.02,1
117.35,199.68,479.68,25.14,1
147.68,228.7,605.3,17.52,1
122.14,237.13,683.48,31.29,1
148.26,229.0,624.8,24.33,1
125.97,208.86,444.53,23.17,1
127.78,199.5,427.16,17.85,1
115.23,231.13,657.26,18.41,1
167.0,211.0,636.0,6.61,1
121.06,237.93,702.72,23.17,1
110.82,195.42,418.48,30.5,1
146.88,193.86,471.18,28.95,1
140.72,225.17,643.71,25.04,1
103.65,201.0,522.0,24.15,1
129.14,218.44,638.0,22.31,1
132.44,231.2,611.6,10.5,1
111.25,212.29,595.5,28.71,1
126.23,231.43,392.53,17.21,1
133.51,202.28,467.23,15.64,1
130.67,189.84,274.41,13.6,1
139.52,207.66,472.36,33.78,1
131.18,199.35,517.49,22.31,1
114.19,221.45,715.55,30.46,1
132.08,220.31,699.62,21.27,1
136.78,211.53,465.26,16.44,1
133.62,217.52,602.32,26.25,1
132.65,213.38,656.4,23.45,1
122.84,205.45,396.53,20.52,1
109.4,209.17,583.92,26.51,1
137.22,230.4,814.7,15.53,1
136.09,209.6,474.4,16.31,1
115.07,212.13,694.47,18.26,1
135.2,184.81,330.06,13.38,1
128.97,217.3,504.62,25.77,1
125.68,183.58,334.95,23.43,1
122.33,215.87,559.47,23.94,1
116.06,232.64,809.77,14.09,1
122.65,204.33,303.83,11.13,1
87.31,219.75,571.25,21.23,1
134.22,205.05,554.57,30.79,1
149.36,216.38,427.88,15.53,1
97.99,221.57,589.43,34.56,1
165.84,221.0,622.0,19.4,1
121.2,209.06,594.25,31.93,1
116.17,219.3,461.26,24.33,1
123.51,229.72,621.79,18.02,1
120.96,219.56,611.04,18.72,1
123.84,223.97,523.38,13.18,1
124.3,202.38,331.18,14.2,1
133.99,205.9,338.97,15.17,1
118.51,214.62,390.54,17.35,1
144.95,211.36,369.55,17.73,1
125.85,234.0,677.88,33.12,1
140.2,192.14,459.86,13.72,1
138.8,219.67,624.94,27.04,1
121.37,222.5,638.25,35.03,1
113.85,216.02,554.83,33.9,1
98.19,245.91,650.55,22.25,1
121.82,235.16,718.79,21.73,1
102.51,212.25,618.25,22.74,1
115.88,209.03,605.74,25.98,1
117.25,204.0,356.0,15.72,1
146.82,212.63,623.0,26.24,1
130.34,222.64,426.09,12.53,1
131.21,211.61,580.59,21.95,1
132.08,219.89,444.67,15.06,1
124.86,230.98,483.59,11.93,1
137.81,219.16,416.0,20.47,1
114.51,241.23,517.92,31.78,1
131.73,264.86,404.12,28.24,1
136.08,296.78,438.7,11.88,1
135.44,303.6,568.2,16.17,1
115.72,297.27,581.0,32.54,1
117.4,261.73,722.88,17.88,1
112.46,226.14,742.23,25.23,1
130.48,228.48,747.0,20.2,1
134.54,200.75,424.34,18.7,1
128.96,231.14,417.64,14.07,1
117.0,252.94,421.09,12.69,1
139.69,219.15,578.23,24.32,1
135.09,206.68,497.27,27.53,1
123.02,238.39,446.55,14.43,1
87.31,236.5,503.0,11.45,1
117.21,288.83,438.56,11.96,1
123.48,245.37,433.63,16.84,1
129.68,247.75,566.75,16.59,1
112.54,228.11,512.56,31.56,1
128.14,215.42,401.0,13.74,1
116.94,208.8,329.4,38.0,1
123.89,229.72,537.75,24.28,1
116.08,234.03,652.24,21.66,1
