RIDGE,NUB,CRACK,WEIGHT,DENSITY,binaryClass
-5.62,-2.29,-5.41,-1.74,4.44,P
-3.47,-1.48,-8.02,3.85,0.16,P
-0.77,1.91,9.88,-3.12,3.42,P
-0.12,0.65,-0.44,1.02,-0.7,P
-16.02,-2.81,2.68,24.79,6.08,P
10.54,-8.23,12.25,-15.26,-4.81,P
0.22,3.83,-9.11,-2.32,2.65,P
12.72,-1.17,-7.73,-28.52,3.31,P
1.48,1.14,-5.78,3.94,-3.72,P
-0.07,0.82,-9.12,3.45,-0.33,P
9.03,-6.04,-3.95,-18.77,-0.26,P
5.31,-0.86,7.95,-5.08,-2.84,P
-9.5,-5.23,11.45,14.25,0.5,P
2.67,1.06,3.24,-4.14,-0.17,P
-10.01,-8.1,-1.0,17.26,1.35,P
4.37,-7.37,-8.36,-10.16,-3.08,P
-10.17,-2.41,0.34,15.57,3.6,P
-3.26,-5.11,-15.21,-2.92,3.78,P
4.22,-1.97,5.83,-6.29,-1.29,P
-4.08,2.02,-9.88,-1.7,4.92,P
-8.64,-2.02,5.23,15.09,0.25,P
10.56,0.2,-13.5,-23.5,0.87,P
-6.68,-4.7,-0.56,10.35,-0.62,P
0.53,9.24,-2.47,-2.28,1.27,P
-0.04,-7.95,4.84,0.25,1.2,P
5.86,5.08,0.19,-1.89,-3.36,P
4.68,-3.27,3.88,-6.74,-1.31,P
-10.73,3.97,4.87,14.95,5.11,P
11.24,-3.79,-5.78,-23.05,-1.71,P
-3.65,-3.11,4.65,8.75,-1.33,P
-0.13,-3.69,-1.75,6.66,-1.82,P
1.97,7.09,8.13,-4.26,2.16,P
5.55,6.56,-0.47,-6.73,-1.06,P
9.64,6.32,-1.81,-12.56,0.9,P
-7.37,-5.2,-0.96,11.58,-0.4,P
-3.29,-6.05,0.21,4.02,0.43,P
4.43,-10.05,12.87,-3.98,-5.64,P
-2.17,-3.74,-2.74,3.48,-2.03,P
-8.5,-2.06,-15.97,9.26,1.74,P
5.4,2.85,6.76,-5.82,-2.42,P
7.33,3.38,4.65,-7.7,-2.59,P
1.02,6.99,3.6,2.03,-0.1,P
-0.76,-10.19,-3.75,1.29,0.01,P
-2.51,-11.92,8.08,7.41,-4.44,P
-2.36,-8.96,-1.6,-1.1,-0.29,P
-5.98,3.46,-2.14,0.01,3.13,P
0.21,0.58,-0.44,1.18,-0.36,P
-5.73,-4.13,6.54,7.38,1.96,P
0.87,8.34,4.18,-7.22,3.2,P
3.73,6.74,0.52,-7.08,2.44,P
8.37,5.94,12.9,-12.81,-0.04,P
12.55,-2.44,4.98,-13.23,-5.6,P
-0.33,0.19,-0.23,0.69,0.33,P
5.67,0.91,2.33,-10.69,-2.01,P
-1.34,-8.31,10.79,6.36,-4.72,P
0.98,5.71,1.13,0.99,-0.21,P
1.1,6.11,-21.99,-7.35,4.65,P
-9.84,1.57,15.54,18.7,3.15,P
6.28,-4.86,-10.58,-8.26,-2.32,P
-1.28,-1.71,9.55,6.17,-1.02,P
9.36,8.49,10.24,-8.35,-4.58,P
-5.38,4.11,1.94,8.26,-0.21,P
-19.47,-3.15,-10.92,22.5,7.48,P
-2.12,0.67,-1.5,1.74,2.59,P
-3.36,-8.7,-7.0,2.4,0.9,P
6.93,-7.29,-7.11,-17.76,-1.38,P
-0.98,-1.91,-9.34,-5.78,0.66,P
1.33,-2.58,-8.17,-3.78,1.86,P
8.61,1.63,-10.81,-14.79,0.25,P
0.19,-6.9,-0.19,-4.73,0.03,P
11.14,-1.77,-6.1,-18.22,-5.09,P
3.08,-2.16,-0.77,-4.25,-0.94,P
12.5,-2.26,5.72,-16.09,-4.29,P
-7.21,2.54,2.72,13.9,2.55,P
-4.18,-7.89,4.85,12.16,-1.33,P
-1.26,3.65,-10.9,-1.92,1.94,P
-15.79,4.42,-15.54,16.07,10.44,P
9.02,-5.23,0.74,-10.39,-7.85,P
-0.08,5.15,0.7,-4.2,6.81,P
-0.45,-0.24,-1.3,6.4,0.61,P
-1.53,-3.08,12.54,3.75,-3.27,P
-7.51,-1.4,-15.51,6.7,5.31,P
1.39,2.64,5.39,-6.22,2.15,P
-1.68,-0.53,0.2,-0.43,1.44,P
-8.86,-4.69,-11.0,15.39,-0.77,P
8.67,-0.97,-2.24,-15.79,-1.73,P
-9.38,5.26,9.64,14.02,3.41,P
-7.0,-2.41,7.23,12.45,-0.88,P
10.6,-1.76,-19.58,-20.91,-1.57,P
3.68,5.47,-3.02,-3.49,-2.65,P
-2.18,1.82,9.1,-0.21,1.44,P
11.56,-2.37,1.59,-11.13,-8.17,P
-1.06,3.63,2.59,2.29,2.29,P
3.97,5.95,1.72,-9.67,3.04,P
11.28,-0.31,6.73,-15.99,-1.69,P
-2.62,4.57,-11.57,1.79,3.6,P
-2.79,3.58,-6.98,1.41,2.24,P
0.18,-1.37,2.97,6.08,-3.85,P
-3.25,-1.86,-16.68,1.61,5.64,P
7.29,2.53,-9.93,-7.03,-4.89,P
-10.02,-0.71,9.89,16.03,1.8,P
5.04,-4.23,1.39,-3.39,-1.77,P
10.84,-0.08,-0.55,-15.99,-6.56,P
-2.35,-2.35,11.42,15.11,-4.2,P
-10.35,-3.87,3.48,17.29,2.1,P
4.07,-2.75,2.07,-6.21,-0.69,P
1.1,-4.79,0.41,2.27,-6.27,P
8.58,6.78,-1.25,-15.55,1.56,P
-2.13,4.29,-9.99,3.54,1.33,P
5.11,-1.37,-4.94,-7.4,-1.74,P
-9.12,5.51,5.34,8.62,5.5,P
3.3,1.52,4.83,-5.6,0.04,P
-11.88,0.7,-2.24,17.16,1.78,P
8.68,14.11,0.94,-15.64,2.55,P
1.39,7.18,-3.3,-5.63,3.26,P
7.79,2.09,-5.98,-16.96,1.82,P
-2.29,7.19,1.01,4.05,1.28,P
-4.84,10.98,13.12,0.05,6.13,P
-2.36,-3.32,-7.88,2.42,0.25,P
5.38,-2.35,-1.12,-10.63,-1.18,P
5.66,6.7,12.83,-5.86,-2.68,P
-6.46,-7.24,-8.82,8.58,-0.17,P
4.34,-2.68,6.02,-1.23,-3.97,P
0.74,-5.42,1.77,-1.23,1.06,P
8.4,6.33,11.52,-3.39,-4.87,P
-1.21,-7.16,12.13,6.51,-2.68,P
-5.56,6.8,2.45,9.03,-0.59,P
4.76,1.74,-0.05,-1.62,-0.33,P
3.23,-6.86,-3.97,-0.45,-2.82,P
4.81,3.08,9.78,-5.03,-3.83,P
5.56,5.12,4.47,-14.32,-0.98,P
0.6,7.74,12.67,2.77,0.06,P
1.68,-7.08,10.29,-1.72,-3.94,P
2.2,-4.3,-15.92,-1.91,-1.8,P
-0.65,-3.38,-2.4,6.32,-3.67,P
12.47,-3.25,-9.53,-7.75,-5.69,P
9.03,-4.3,0.43,-16.42,-4.18,P
8.32,-9.3,2.86,-9.17,-5.11,P
-9.6,-7.34,-0.53,17.66,0.44,P
9.32,1.7,-0.3,-14.81,-0.38,P
8.52,-4.51,5.39,-8.74,-2.98,P
-2.34,-5.15,13.25,3.02,-0.94,P
1.16,0.83,3.9,-3.07,1.8,P
6.09,4.5,12.78,-11.4,-1.2,P
-2.64,2.34,-5.98,-1.64,6.0,P
4.12,6.8,-10.72,-5.85,2.09,P
-10.85,2.61,7.91,13.64,7.18,P
2.14,4.48,6.7,-5.21,-0.56,P
0.1,0.62,8.2,5.58,-3.31,P
2.78,2.99,15.86,-5.29,-0.64,P
5.45,-4.51,7.59,-0.3,-5.28,P
-3.58,0.48,0.94,11.2,-2.02,P
8.62,2.07,-2.66,-10.84,-4.71,P
-5.69,3.28,-1.73,12.58,-0.58,P
-11.74,3.15,3.63,19.18,6.08,P
0.0,6.99,7.68,-3.56,3.58,P
-7.64,-1.44,8.6,12.57,-1.05,P
-7.92,7.78,4.77,6.67,2.09,P
2.14,5.0,-10.61,-5.72,4.14,P
-8.82,0.68,3.66,13.52,2.89,P
-0.45,3.88,-3.96,6.8,1.21,P
3.06,0.03,10.56,-0.08,-4.81,P
-0.05,7.9,10.14,2.33,-0.66,P
5.84,-10.34,-4.67,-10.59,-3.02,P
-8.98,7.49,-11.16,9.34,5.94,P
7.42,-5.81,1.92,-4.02,-4.52,P
-8.71,-3.74,-12.52,7.77,2.69,P
12.07,-4.09,-7.2,-15.93,-3.97,P
-2.22,-1.96,-2.19,-2.05,5.34,P
-0.77,0.95,22.53,5.18,-2.34,P
-2.57,4.66,-3.54,-1.71,7.49,P
-1.9,-2.38,1.1,5.26,-2.98,P
4.2,6.32,10.24,-7.53,-0.54,P
-4.79,-1.92,19.03,16.09,-3.33,P
-1.4,-8.19,-7.96,-4.23,-0.35,P
4.55,2.63,4.24,-7.42,0.76,P
3.18,6.22,-9.44,-1.71,1.86,P
-3.42,-3.05,-3.68,2.91,0.7,P
-6.47,1.49,3.62,11.4,-0.83,P
0.0,8.49,3.73,-3.86,2.34,P
-2.36,-0.2,15.99,8.26,-2.69,P
-9.12,-1.26,16.43,19.8,-0.86,P
1.4,9.48,5.06,-7.46,3.83,P
-0.72,-3.62,-5.92,6.23,-1.2,P
-7.86,7.13,3.08,10.32,4.72,P
2.54,-1.99,8.15,-6.58,-1.84,P
15.22,6.45,-0.41,-16.02,-5.02,P
-9.21,8.16,0.24,11.84,4.99,P
-1.0,-9.29,7.02,3.77,-3.21,P
5.27,-0.54,0.37,-6.24,-5.49,P
6.24,-2.43,3.95,-9.95,-4.3,P
-9.8,-1.13,8.16,13.79,3.76,P
-3.8,-5.99,-14.72,-2.04,4.29,P
0.1,6.38,0.7,-5.54,4.94,P
-4.52,-1.97,-3.25,1.75,3.91,P
7.08,-0.08,-1.29,-8.55,-2.39,P
-3.34,3.94,-2.77,9.6,-1.09,P
16.45,6.94,-0.62,-22.56,-2.8,P
-8.3,1.44,-6.59,15.72,3.5,P
-5.76,-0.62,-4.09,17.16,-2.68,P
0.87,-7.21,7.24,8.86,-4.98,P
6.98,-0.44,-2.97,-10.96,-2.91,P
-1.27,9.47,-8.26,3.02,3.75,P
-1.74,-5.33,-1.54,0.71,-0.02,P
-1.98,12.11,-1.19,2.13,2.12,P
4.89,-2.99,6.6,-5.22,-2.67,P
1.48,-10.17,2.31,-1.43,-3.93,P
4.33,-1.79,-3.81,-2.15,-2.82,P
9.03,-1.38,-3.71,-10.73,-2.6,P
0.62,-4.22,-5.12,1.54,-2.69,P
-6.07,-3.83,-11.69,8.48,0.74,P
-3.18,0.8,7.12,10.39,-0.92,P
4.54,8.07,0.42,-3.86,0.16,P
0.0,-7.49,13.98,0.03,-0.84,P
1.11,-3.24,-7.87,-3.65,-0.5,P
5.95,0.02,9.74,-5.96,-2.24,P
7.0,9.03,1.05,-5.4,-1.1,P
5.36,-1.67,7.19,-10.95,2.31,P
-5.49,0.66,9.56,6.18,2.42,P
5.51,-8.48,-2.94,-0.27,-2.55,P
-5.91,1.41,-15.69,3.67,4.08,P
4.23,4.14,-2.81,-7.63,-0.84,P
0.54,-5.51,3.66,-0.33,-3.81,P
-0.41,-3.34,11.21,2.3,-0.22,P
2.03,-0.99,-7.18,-10.77,-1.09,P
-1.29,-0.93,-6.74,8.65,-3.52,P
4.33,5.85,4.32,-1.52,-0.63,P
0.54,2.82,5.98,-4.97,-0.75,P
3.08,9.6,3.25,-5.78,1.25,P
0.05,-3.22,8.49,4.34,-2.11,P
-2.46,-6.52,-5.34,0.61,0.28,P
2.96,4.34,-19.95,-13.22,2.65,P
-0.87,-6.55,-12.36,-1.97,3.38,P
-3.36,2.34,11.17,4.62,4.02,P
-5.04,7.14,5.41,5.69,4.57,P
-1.75,5.06,19.49,6.96,-1.7,P
-13.91,-2.67,-2.55,16.03,4.84,P
-3.07,4.23,-15.83,1.4,4.64,P
0.4,-3.77,0.69,-4.18,-0.13,P
-2.88,-2.45,-21.77,-1.61,3.12,P
4.08,1.83,11.82,-7.11,-0.19,P
-5.24,-1.87,4.46,14.32,-2.31,P
-8.31,7.57,11.6,4.58,9.76,P
-8.36,-8.13,13.97,20.08,-2.29,P
7.58,6.41,-2.49,-12.39,-0.89,P
-5.29,-10.93,-4.45,6.1,-0.26,P
7.2,-2.18,-7.58,-13.31,-1.35,P
3.18,-4.97,10.63,-5.67,-0.44,P
4.39,-3.95,-1.01,-6.55,-2.44,P
-3.97,-0.84,-6.93,10.42,-0.53,P
9.87,7.89,-0.07,-15.67,0.25,P
5.2,-6.87,-12.31,-3.73,-4.19,P
2.38,-0.08,3.99,7.94,-7.26,P
-1.69,-0.66,0.26,-0.5,1.76,P
8.93,4.7,-2.42,-11.23,-3.26,P
0.37,0.82,-0.56,1.39,-0.88,P
4.24,2.08,-0.16,-14.8,1.1,P
2.84,10.29,1.86,-4.22,1.64,P
1.25,8.89,-4.09,-6.61,4.5,P
10.15,0.08,-6.97,-13.4,-6.23,P
-8.11,5.2,8.31,14.85,2.57,P
-3.31,-7.07,6.27,-1.47,0.51,P
-1.37,-2.81,0.82,-0.04,2.15,P
1.59,5.11,6.18,-1.7,-0.51,P
3.0,2.0,4.3,-9.53,2.73,P
-1.26,-0.3,0.06,-0.08,1.07,P
8.93,4.48,-2.47,-9.96,-2.48,P
-2.48,2.07,15.74,3.31,0.21,P
-1.49,-3.92,1.05,8.16,-3.54,P
8.73,-3.36,-10.85,-11.3,-3.57,P
-1.25,5.54,13.04,0.97,2.38,P
-9.75,-10.53,-5.99,11.44,1.67,P
11.82,3.07,-10.11,-21.41,-0.72,P
-1.78,5.56,2.07,4.32,-0.14,P
9.58,7.75,0.84,-16.09,1.17,P
-6.45,-5.63,-3.04,9.96,-0.94,P
-3.07,2.42,-11.96,2.8,0.73,P
5.95,4.14,-10.51,-13.89,2.01,P
-2.24,2.83,-8.59,6.67,-0.76,P
3.22,-3.62,8.09,-4.56,-3.9,P
-3.93,-7.53,-5.8,4.56,-0.04,P
0.68,-0.62,-8.2,1.82,0.01,P
7.14,5.84,-4.46,-12.82,0.2,P
1.78,8.13,-3.12,-9.4,4.0,P
-11.57,-4.61,6.82,13.34,5.2,P
-3.36,4.46,0.16,7.4,0.5,P
4.79,-0.76,-13.78,-6.01,-4.16,P
3.55,1.62,12.54,-2.91,-0.76,P
-3.21,1.99,-5.58,2.31,2.75,P
4.12,0.39,9.2,-3.04,-3.01,P
-1.17,-2.42,16.22,4.54,0.08,P
5.69,-1.79,-10.91,-5.92,-2.51,P
-1.33,1.3,4.83,-1.57,1.6,P
-17.24,-13.36,5.76,23.79,1.16,P
1.45,-3.76,-0.34,-7.72,-0.81,P
8.4,5.47,-3.8,-6.35,-2.48,P
4.42,0.04,5.84,-4.89,-0.35,P
7.32,1.26,-10.69,-7.98,-2.17,P
-0.83,-0.33,-7.6,6.13,-0.52,P
-0.26,-7.34,-0.35,-1.31,0.26,P
6.03,1.71,6.67,-7.56,-0.28,P
-2.2,-0.63,15.64,3.06,-1.67,P
-7.21,-6.4,-3.72,3.49,4.15,P
-2.58,-4.63,9.61,6.04,-5.13,P
-14.67,-4.46,1.19,15.1,7.7,P
-2.2,-1.24,8.1,-3.32,3.94,P
-0.59,0.11,-9.12,-2.28,-2.64,P
-2.72,-1.16,-9.57,3.78,3.22,P
-12.08,-2.86,4.04,27.15,-2.44,P
4.22,-3.66,-3.37,-12.62,1.19,P
8.53,-6.32,-7.56,-16.77,-1.46,P
-1.02,-11.16,-16.7,6.6,-5.34,P
-1.87,8.12,10.19,9.22,1.48,P
-9.99,0.04,12.56,14.68,1.05,P
-1.56,-0.69,0.26,-0.43,1.9,P
14.61,-1.16,-0.36,-21.14,-4.04,P
5.77,1.77,-5.46,-10.73,0.5,P
-0.5,6.96,5.23,-4.81,6.42,P
-5.67,1.22,3.85,-1.83,7.5,P
-5.88,-3.01,-11.95,4.02,3.04,P
5.4,-0.54,5.63,-2.77,-3.37,P
3.47,7.49,13.78,-2.14,-0.63,P
5.33,-3.76,-0.3,-6.34,-2.37,P
1.75,-1.52,1.76,-9.46,0.93,P
9.41,3.11,2.7,-6.34,-2.9,P
4.04,0.48,3.01,-7.09,-1.38,P
-1.04,-7.11,-3.93,4.65,-2.68,P
-0.75,6.94,-7.82,1.7,2.1,P
-7.11,-1.67,0.62,15.28,-1.37,P
1.54,9.89,-6.65,-5.12,2.41,P
8.6,10.72,-0.14,-10.04,-0.52,P
3.13,-2.29,-2.76,-2.61,-2.12,P
-1.22,-3.62,-1.83,-0.94,2.31,P
7.53,-2.48,5.34,-13.98,-1.68,P
-9.24,-1.8,-7.0,16.85,0.29,P
-2.95,-3.15,8.71,7.38,-0.31,P
-3.17,4.88,11.52,10.44,-3.22,P
-1.8,-3.27,-1.67,9.7,-2.45,P
-1.07,-3.39,-3.5,-0.48,0.62,P
-12.52,-7.06,5.14,23.21,0.35,P
10.01,2.55,-0.25,-13.12,-2.38,P
0.02,1.95,4.7,-2.97,1.12,P
4.02,4.69,11.27,-0.85,-3.1,P
6.12,-3.06,-0.14,-10.78,-1.86,P
-13.83,-6.34,-6.75,15.08,3.79,P
2.73,2.87,-2.79,2.95,-3.49,P
1.4,6.28,-7.91,-2.25,2.7,P
-7.81,-1.26,3.9,16.69,0.3,P
-1.53,-0.29,-14.93,-7.08,5.85,P
-2.22,-3.6,-9.26,0.55,1.2,P
-1.56,6.45,6.05,9.32,-2.53,P
-5.39,1.52,-1.18,15.79,0.79,P
-4.47,-1.54,-2.61,12.08,-0.24,P
3.85,3.65,1.0,-1.43,-2.49,P
-6.02,-11.63,-8.87,1.23,3.2,P
-5.66,-1.57,8.13,6.99,0.34,P
-1.26,2.05,-9.23,3.06,-2.16,P
-10.34,-6.99,-4.27,19.69,-0.44,P
-1.86,-2.87,1.84,-1.75,2.35,P
-3.92,5.94,2.65,11.66,1.37,P
-7.5,-3.39,-11.21,5.98,4.26,P
-1.68,-0.86,-7.84,2.6,3.8,P
4.81,0.98,-10.64,-12.65,2.44,P
-1.51,-3.87,2.28,4.28,-3.45,P
-1.08,0.16,-16.26,-5.1,4.07,P
1.4,-5.7,-21.71,-2.58,1.31,P
-3.9,7.09,12.81,6.05,3.45,P
-1.08,1.03,-9.16,6.04,-1.68,P
-15.04,2.17,14.45,24.73,1.66,P
-2.62,-2.65,-6.49,-2.3,4.58,P
2.78,7.68,8.68,0.08,-3.66,P
5.53,8.52,4.86,-7.06,-1.19,P
-2.44,7.7,11.05,12.08,-0.29,P
1.15,-1.17,12.96,-3.07,2.62,P
-9.79,-0.45,15.32,25.38,-0.54,P
-0.16,1.7,-13.06,-8.3,4.59,P
-2.5,6.09,4.77,0.86,2.09,P
3.49,4.57,1.69,-10.25,-1.53,P
2.21,-1.41,-6.89,0.2,-3.66,P
-4.41,1.74,7.39,7.17,0.87,P
-2.91,2.56,-5.3,1.72,3.09,P
-5.42,-0.5,11.96,9.79,-1.48,P
5.6,0.84,-0.88,-3.19,-3.43,P
1.82,5.62,6.52,-4.07,2.32,P
9.77,11.41,9.38,-12.43,-0.62,P
3.9,1.93,6.57,-8.02,1.2,P
-4.27,-0.48,0.67,12.14,-2.51,P
3.4,-1.22,2.74,-5.91,-1.05,P
-9.96,5.15,4.37,16.18,1.48,P
3.24,3.51,7.59,1.2,-2.85,P
-4.91,-5.74,-5.32,5.7,1.95,P
15.93,-1.5,-3.86,-30.9,-1.17,P
-1.08,-7.57,-3.46,3.64,-2.59,P
-5.99,5.14,-0.33,10.86,0.61,P
4.57,11.2,-4.84,-4.57,1.08,P
-8.56,-0.65,-7.45,5.97,7.62,P
-11.03,3.09,3.91,10.23,4.15,P
0.82,-2.26,13.02,-1.4,-1.5,P
8.06,1.2,-6.51,-11.42,-1.52,P
-1.6,-3.51,4.23,7.39,-2.95,P
-1.4,-0.44,-3.53,1.79,-1.82,P
-1.14,-11.61,-9.46,-1.56,2.45,P
2.58,-9.74,2.66,-5.13,-2.46,P
-7.91,-4.18,3.11,11.64,-0.39,P
-4.38,-2.99,-1.18,0.34,1.7,P
-3.18,3.48,-8.48,1.15,2.65,P
-3.51,-3.33,0.64,6.59,1.62,P
-4.23,-3.75,-10.6,5.24,4.23,P
-7.55,-6.06,4.91,15.22,-0.14,P
-1.26,-0.87,-22.74,-4.74,3.08,P
-8.62,-5.97,-6.36,4.73,3.97,P
-7.42,9.17,-7.0,7.8,8.89,P
6.42,-0.3,5.22,-8.17,-3.66,P
-1.13,-1.93,-1.14,-0.44,1.68,P
5.5,-4.18,3.02,-3.26,-3.5,P
4.52,-1.8,2.37,-3.77,-3.76,P
10.5,0.06,2.22,-7.63,-6.6,P
0.82,-9.03,-2.52,-3.01,-2.12,P
0.16,-3.5,10.16,6.46,-3.73,P
-3.29,4.36,-13.44,1.06,2.93,P
-8.22,3.16,-4.15,13.52,1.17,P
1.95,-1.68,-1.83,1.94,-4.11,P
6.24,-5.33,-2.46,-11.84,-2.75,P
-3.44,-4.5,9.83,8.31,-0.06,P
9.19,2.68,-2.7,-15.96,0.6,P
5.41,-1.96,-4.07,-7.22,-2.39,P
-0.8,-9.44,-3.45,-3.59,1.51,P
-5.65,0.72,7.36,14.01,-2.52,P
-1.24,-5.15,-12.2,3.55,-0.89,P
13.69,-0.84,1.77,-15.33,-6.56,P
-1.71,2.98,17.52,-4.51,2.75,P
9.16,1.01,3.31,-17.97,-1.17,P
-4.17,-2.88,-2.64,5.47,0.46,P
-13.18,-4.91,8.58,17.89,2.98,P
2.15,-4.54,-0.44,-5.42,1.15,P
7.52,7.05,-4.28,-6.3,-2.52,P
1.96,5.51,-2.67,-11.13,4.92,P
-8.64,7.12,8.47,9.15,3.54,P
0.64,-9.26,-6.1,-4.45,-0.68,P
-3.47,5.59,1.07,6.16,-0.08,P
18.53,5.1,14.06,-22.78,-7.7,P
-4.48,-7.57,6.3,11.96,-5.52,P
10.56,-2.98,-15.51,-22.59,-1.27,P
-4.92,-3.08,2.2,8.93,-0.3,P
-4.21,-0.08,14.54,11.43,1.47,P
-2.84,3.68,2.74,6.8,5.4,P
2.65,6.78,11.34,-5.08,-0.95,P
5.65,4.27,6.19,-6.24,-2.53,P
-3.07,-0.27,14.38,4.79,-0.9,P
6.16,-0.18,4.89,-12.62,-1.51,P
2.31,3.9,2.57,-7.13,-1.33,P
-0.52,2.17,17.19,0.88,-0.88,P
0.35,5.32,8.44,-1.04,1.27,P
13.15,3.09,-8.04,-22.92,-1.0,P
0.15,1.82,12.31,1.89,0.07,P
13.38,-3.94,-2.15,-13.92,-4.54,P
1.07,7.99,2.65,-7.43,1.95,P
-7.0,-3.4,-4.83,5.33,-0.3,P
-2.65,3.17,-0.98,0.65,5.42,P
-7.79,-2.03,4.45,16.56,1.17,P
0.51,-2.37,-4.99,-1.26,-0.16,P
-2.86,6.65,-4.27,11.28,-0.42,P
-5.06,-4.05,6.27,11.16,-0.81,P
8.22,-1.88,5.22,-14.46,-2.68,P
7.86,0.44,-9.94,-15.83,-0.27,P
4.12,4.28,8.57,-11.57,-1.0,P
-5.09,6.35,8.94,1.19,3.63,P
7.81,4.99,-6.36,-9.79,-2.16,P
-8.95,-2.5,4.73,15.33,-0.93,P
5.63,-2.41,-3.55,-12.11,2.66,P
7.59,-1.07,2.1,-8.11,0.08,P
-1.36,-2.36,2.34,7.52,-2.45,P
3.61,-2.03,-2.37,-6.4,-1.12,P
-3.43,3.74,4.84,8.42,-1.72,P
3.01,-1.76,8.86,1.67,-3.29,P
9.26,2.79,1.95,-9.63,-2.3,P
-0.4,4.75,12.97,3.93,1.73,P
0.44,-4.97,-3.04,-6.5,1.71,P
-1.1,4.55,9.79,-0.25,-0.55,P
-2.39,-0.66,2.32,0.16,4.13,P
8.12,3.42,-16.3,-16.74,2.44,P
-7.65,-4.05,5.72,13.55,3.11,P
6.77,6.73,-0.49,-7.5,-0.62,P
3.11,4.32,14.86,-3.78,-1.85,P
5.17,-4.43,-8.15,-10.0,-0.82,P
-4.11,-2.29,-1.33,4.64,0.62,P
4.51,-1.65,-6.03,-11.51,-0.47,P
0.53,6.0,19.44,3.34,2.3,P
-4.47,4.05,-16.97,4.31,0.77,P
0.53,-3.63,-21.04,-4.27,-0.24,P
-0.25,0.5,-0.36,0.88,-0.38,P
0.62,0.81,-0.57,1.53,-0.74,P
5.75,3.27,-11.66,-7.81,0.27,P
1.3,-4.31,-1.55,-5.76,-1.44,P
-4.69,1.2,2.3,8.99,0.3,P
-0.51,-0.0,-0.13,0.5,0.71,P
-9.46,1.41,7.05,11.82,4.72,P
-10.69,-8.94,4.48,22.32,-1.62,P
4.81,1.64,0.24,-6.18,-3.14,P
-3.36,3.32,8.22,2.25,2.06,P
-4.36,3.89,4.71,11.31,0.22,P
2.92,7.35,-11.08,-8.81,-0.02,P
5.19,-7.2,4.01,-2.12,-5.64,P
-0.76,7.97,3.6,4.17,2.73,P
9.81,3.11,-5.2,-13.08,-1.96,P
2.6,-3.05,-3.57,-1.09,-3.69,P
11.18,4.97,-5.38,-15.14,-0.27,P
-4.65,-1.2,6.44,9.98,-1.25,P
-1.38,1.23,-10.16,-5.5,3.61,P
-1.34,-3.15,-3.94,-2.14,-2.03,P
12.81,-3.7,-3.82,-17.23,-2.34,P
-5.68,7.7,-5.64,9.86,3.84,P
1.81,-2.96,5.52,-5.12,-0.79,P
0.85,-7.62,5.67,1.09,-2.87,P
8.97,-1.48,0.16,-13.78,-3.23,P
-13.88,-3.4,-12.26,15.06,7.78,P
-1.06,-0.85,-13.78,1.44,1.49,P
-0.47,0.16,5.32,-4.58,1.44,P
3.65,-5.41,2.91,2.53,-4.5,P
-4.83,-0.31,-3.74,15.75,-1.1,P
