a1cx,a1cy,b2x,b2y,a2pop,a3pop,temp,mxql,binaryClass
0.2156,0.1823,-0.4342,-0.3606,0.3271,1.96,0.7421,8,P
-0.1848,-0.3736,0.1019,0.2648,2.0659,4.051,0.6518,6,N
-0.0664,0.4131,-0.2656,-0.0785,3.2435,1.8264,0.7687,8,P
0.3426,-0.275,-0.2593,-0.4832,7.1148,2.9286,0.7672,6,N
-0.3155,-0.2612,-0.011,-0.348,6.5849,0.1175,0.7504,5,P
-0.0603,-0.4911,-0.0845,-0.1991,0.8073,3.0045,0.6295,8,P
0.48,0.1373,-0.452,0.2136,3.2707,1.8903,0.6763,5,P
0.2268,-0.4363,0.1494,0.1551,1.9843,7.3349,0.3906,6,N
-0.1727,0.0864,0.308,-0.4141,3.6128,5.2002,0.7357,8,N
0.3909,0.0107,-0.2455,-0.2113,3.8476,0.0539,0.4111,5,P
-0.4071,0.1674,-0.0678,0.1008,4.1088,2.1809,0.4037,6,P
0.1684,0.085,-0.2621,-0.3994,2.3294,5.3981,0.2145,7,N
-0.3673,-0.0396,0.3399,0.4069,0.2693,1.7276,0.7315,7,P
-0.0806,-0.4809,-0.0569,0.4276,2.0673,4.4699,0.1595,7,N
0.3775,0.0422,-0.4435,-0.2456,0.3214,8.3502,0.6992,6,N
0.2285,0.0815,0.4332,-0.0703,4.7704,7.1736,0.5368,6,N
0.1049,-0.2522,0.2642,0.3678,5.2781,1.2576,0.961,6,P
-0.418,0.3644,0.0949,-0.0674,0.3347,1.2619,0.7658,8,P
-0.0738,-0.4816,0.4791,0.3109,12.9606,5.1643,0.5127,5,N
0.2138,0.1192,-0.4043,0.043,1.9098,0.9407,0.6104,7,P
-0.4848,0.2131,0.0803,0.3931,1.612,11.6373,0.6118,7,N
0.1564,0.202,0.0551,-0.0701,2.025,1.7209,0.5794,5,P
-0.3344,-0.4141,0.3879,-0.0814,5.9413,5.8757,0.8075,6,N
0.0738,-0.108,0.4537,0.3586,2.9949,0.8993,0.5904,7,P
0.4806,-0.4852,-0.3632,0.2618,2.8843,1.4237,0.8075,6,P
-0.1634,-0.3416,-0.3241,-0.3161,3.813,0.3496,0.7648,5,P
0.3181,0.253,0.242,0.0239,4.0677,1.8703,0.6861,8,P
0.2849,0.3971,0.3494,-0.3689,0.1336,6.2406,0.8917,7,P
0.4999,0.2439,-0.0562,-0.1869,2.1355,2.9214,0.2307,5,N
0.4143,0.2549,0.2113,-0.4274,8.7931,1.9097,0.3244,6,N
-0.2237,-0.2764,-0.4879,0.1039,0.5423,2.9723,0.5178,6,P
0.2986,-0.1305,0.2634,-0.0071,5.298,7.9063,0.8376,6,N
0.3537,-0.3117,0.0406,-0.3139,3.8645,3.5081,0.6022,7,N
-0.0417,-0.4261,0.0782,0.2055,0.2129,3.4826,0.8906,8,P
-0.0711,-0.2348,0.2305,-0.1544,1.6647,3.4646,0.6547,7,P
0.2833,0.4428,-0.2864,0.2866,2.3251,1.0195,0.4151,6,P
-0.4586,0.282,0.2384,-0.2944,4.1987,4.1862,0.784,8,N
-0.4115,0.479,0.4352,-0.0771,2.4234,3.7262,0.6629,7,P
-0.2886,0.0495,-0.1707,0.1194,1.1273,2.4442,0.5775,6,P
0.3271,0.1737,0.175,-0.2061,3.1206,4.9079,0.6074,7,N
-0.2812,0.208,0.4194,-0.3067,8.001,3.3344,0.8174,5,N
-0.3206,-0.0783,-0.4196,0.2076,3.7425,1.1769,0.5388,6,P
-0.0509,-0.4223,0.0159,0.3324,0.9534,11.0012,0.4431,7,N
-0.0543,0.1355,-0.2713,-0.1259,14.1403,3.0357,0.514,6,N
-0.4787,0.1604,-0.4349,-0.3157,6.2613,2.0218,0.8449,5,N
0.0894,-0.0237,0.3501,-0.3142,1.3645,2.7203,0.438,5,P
0.3934,-0.1379,0.4415,0.0107,0.0739,0.5704,0.8165,5,P
-0.4483,0.3028,0.4648,0.3534,0.6442,1.6278,0.3676,5,P
-0.318,0.0914,-0.1797,0.1145,1.0749,5.0307,0.479,7,N
0.3839,-0.3781,-0.359,-0.2162,1.9389,3.7897,0.7678,8,P
-0.498,0.4449,-0.4531,0.3553,7.1272,1.5117,0.6446,6,N
-0.4228,-0.1576,-0.3717,0.0328,0.6223,1.2106,0.5074,7,P
0.1446,0.1501,0.021,-0.2262,1.1121,1.5276,0.824,5,P
-0.3328,0.2958,0.1061,0.3044,0.5947,1.7232,0.8053,6,P
-0.0135,-0.3186,-0.3279,0.0395,2.4843,0.2292,0.8173,8,P
-0.1425,-0.1454,0.2982,0.0044,6.1146,0.0068,0.8768,8,P
0.3255,-0.4838,-0.1153,-0.1164,3.7432,19.3715,0.3879,6,N
0.0344,-0.3455,0.1135,-0.412,5.79,0.3139,0.7594,5,P
-0.4126,0.0546,-0.3398,0.2973,0.7739,0.6166,0.6666,5,P
0.1341,-0.1624,-0.4224,0.4932,0.6101,3.9504,0.7706,5,P
-0.2541,0.3142,0.1951,-0.1468,9.403,3.8979,0.6551,5,N
0.0494,-0.0919,-0.2454,-0.0441,0.0413,0.8932,0.9018,6,P
-0.2701,0.3843,-0.1823,0.423,2.1992,8.7008,0.7993,8,N
0.4773,0.4064,-0.2105,-0.1623,1.6649,9.7041,0.7125,6,N
-0.4701,-0.108,-0.4679,-0.4918,1.0705,7.5735,0.7454,6,N
0.4166,0.1441,-0.2676,-0.1864,2.3473,2.2317,0.7384,5,P
-0.1343,-0.0269,0.4286,0.2738,0.0063,2.4433,0.4756,5,P
-0.1623,0.2785,-0.4354,-0.4043,3.1134,0.7464,0.2687,7,P
0.2281,0.3403,0.3843,-0.021,3.6282,7.5729,0.6112,5,N
-0.4888,0.4261,0.1067,-0.0975,1.5506,0.8847,0.2831,5,P
-0.0896,0.133,-0.4497,0.1083,0.9294,2.3464,0.35,7,P
0.27,0.2666,-0.4259,-0.4847,0.1064,3.2414,0.8516,6,P
-0.0921,0.037,-0.3392,0.4014,0.2091,7.3915,0.7991,8,N
-0.2069,-0.4742,0.1369,0.104,13.8722,3.2768,0.6094,6,N
0.2126,-0.1173,-0.307,0.1923,0.5499,0.1293,0.4072,7,P
-0.3701,-0.2414,-0.2345,-0.3787,2.4824,0.7393,0.5412,6,P
-0.4409,0.2198,0.4998,-0.0188,0.9384,7.1931,0.8493,5,N
0.0312,0.1812,0.1843,-0.1527,0.0141,1.8991,0.2465,8,P
-0.3091,-0.3915,0.2852,0.3723,5.4077,1.6447,0.5871,8,P
-0.4008,0.3351,0.0119,-0.024,1.6444,4.4662,0.7578,8,P
-0.4045,-0.4804,0.0642,-0.2639,4.5171,0.4187,0.3352,7,P
0.0354,-0.3764,0.3232,-0.165,0.0468,0.5912,0.4534,6,P
-0.4952,0.0164,-0.3231,-0.4699,1.5232,3.2146,0.4929,6,P
-0.4251,-0.3824,0.3276,-0.3458,0.3617,0.8164,0.4137,6,P
-0.2332,-0.0043,0.1076,-0.2062,2.1416,0.6708,0.2911,7,P
-0.3204,-0.0449,-0.0692,-0.25,4.4425,0.8426,0.4641,7,P
0.4372,-0.4442,-0.0672,0.3091,0.6982,0.3067,0.5826,5,P
-0.0885,0.2827,-0.4764,0.3088,2.9752,1.6138,0.6946,7,P
0.0657,0.4771,-0.4706,-0.1813,2.2595,0.154,0.5694,5,P
-0.4333,0.1869,-0.4817,0.166,2.0883,0.4256,0.8845,7,P
0.0711,0.4159,0.0388,-0.0701,2.676,0.5483,0.9468,6,P
0.1954,-0.2901,-0.086,-0.3437,5.7241,2.4514,0.6065,6,N
0.1079,-0.3613,0.3063,-0.347,0.6706,3.9254,0.7769,7,P
0.2139,0.088,0.2093,0.0413,0.671,2.7478,0.3254,5,P
-0.07,-0.2902,-0.4885,-0.2233,4.8908,1.4339,0.8673,6,P
-0.2065,-0.4335,0.223,-0.2375,0.1054,0.0729,0.6267,6,P
-0.448,-0.3562,0.3617,0.051,2.8992,2.0352,0.5177,5,P
0.0334,0.2772,0.416,0.3678,2.239,3.0004,0.6591,6,P
-0.3234,-0.1215,0.0004,-0.2473,7.4202,2.9166,0.7497,8,N
-0.0967,-0.3604,-0.1426,0.1468,1.9879,2.7089,0.4345,8,P
0.1083,-0.4959,-0.311,0.1126,3.8323,1.6146,0.331,6,N
0.301,0.097,-0.4905,-0.4477,0.2648,0.3736,0.6921,6,P
-0.1435,0.4015,0.2387,0.4929,1.5839,4.2323,0.7142,5,N
-0.1818,0.4284,-0.1679,0.1201,4.4181,3.2522,0.8913,5,N
-0.3027,0.0197,0.0259,-0.169,11.2586,0.6198,0.6999,7,N
-0.2986,-0.2294,-0.164,0.1979,0.6153,0.3848,0.516,8,P
0.4041,-0.3048,0.089,-0.3886,5.0494,2.1325,0.2148,7,N
-0.2812,-0.1148,0.0385,-0.3977,0.7616,1.2455,0.9489,7,P
-0.3214,-0.4893,-0.4738,-0.1858,1.0763,2.6197,0.7825,6,P
-0.2698,-0.011,0.0713,0.3529,4.7169,0.2568,0.7316,5,P
-0.4907,-0.4446,0.1466,0.1547,0.1626,0.3008,0.8289,7,P
-0.0912,0.4936,0.2362,-0.1394,0.6183,0.9814,0.1586,7,P
0.0038,-0.0551,0.1777,-0.275,2.0941,3.3714,0.8276,8,P
-0.4388,-0.0443,0.291,-0.3535,4.2685,0.3843,0.8018,8,P
-0.305,-0.4549,-0.1146,0.2342,7.9607,19.5664,0.8004,7,N
-0.2217,-0.0686,-0.3028,0.0277,0.9583,4.8118,0.6059,5,P
0.1688,-0.0393,-0.493,-0.061,1.1061,1.5151,0.2727,8,P
0.1103,0.4355,0.1093,0.4044,2.3365,3.4839,0.4945,8,P
0.3151,0.0002,-0.4265,0.1004,3.0977,5.6456,0.6579,7,N
-0.267,0.3619,0.1513,0.4779,1.9732,14.9349,0.3024,8,N
0.0407,0.3652,0.3749,-0.3409,8.8898,0.4675,0.4694,7,N
-0.0068,0.4306,-0.4112,0.3038,0.8536,1.2643,0.3547,8,P
-0.2837,0.3882,0.3577,-0.0047,2.626,1.196,0.5658,6,P
0.0256,0.0854,0.015,-0.1098,4.6832,0.4137,0.9203,8,P
0.2208,0.1371,-0.2534,-0.2421,2.3674,3.0972,0.138,6,N
0.3071,0.4047,-0.3401,0.2484,6.1364,1.15,0.4013,6,N
-0.0178,0.2906,-0.1776,-0.2403,6.4412,1.2316,0.5545,8,N
-0.008,-0.3602,0.0303,-0.1652,1.9684,1.4687,0.878,8,P
0.3538,-0.4536,0.3072,-0.4558,0.6655,6.5889,0.6358,8,P
0.1737,-0.1022,0.3965,-0.4936,1.0051,10.2606,0.8324,6,N
0.1994,0.4431,0.0734,0.2285,1.5054,0.0956,0.5439,5,P
-0.1032,-0.1389,-0.1229,0.2108,4.0826,1.8648,0.857,7,P
-0.3423,-0.2778,-0.1641,-0.2614,3.6171,2.6376,0.831,8,P
-0.2919,0.2246,-0.2054,0.2745,0.8165,7.333,0.771,6,N
-0.387,-0.2056,0.2197,0.1831,3.2643,9.2411,0.77,7,N
0.308,-0.0794,0.1973,-0.2487,11.0691,10.372,0.7427,5,N
0.2962,0.2533,0.2419,0.2499,0.8306,5.3761,0.621,8,P
-0.3447,0.3734,-0.3802,-0.1311,4.0206,2.2484,0.8533,7,P
-0.3244,0.1852,0.0564,0.2965,1.3685,0.9369,0.5649,8,P
0.2823,-0.0907,-0.0949,0.0313,0.9333,4.4195,0.8761,7,N
-0.3049,0.2558,0.4581,-0.1962,0.7755,9.9422,0.8679,7,N
-0.3972,0.4538,0.0887,0.393,1.4478,4.7259,0.8714,5,P
0.419,-0.2566,0.1619,-0.3593,0.5845,4.0321,0.8397,8,P
0.1995,-0.2983,0.3175,-0.2686,0.3725,2.211,0.8059,7,P
-0.3969,0.2698,0.1707,-0.4572,1.1361,0.2806,0.379,7,P
-0.4033,0.0162,0.0733,0.4123,1.2328,3.4583,0.2519,5,P
0.0054,-0.1902,0.3768,0.1982,0.2169,1.6628,0.8075,8,P
0.1646,-0.2071,-0.4145,0.3134,0.7819,4.2374,0.2596,8,N
-0.07,-0.3004,-0.1748,-0.4514,2.348,1.5081,0.7024,7,P
-0.336,-0.2143,0.2122,-0.1325,3.8273,3.1648,0.2156,8,N
-0.2704,-0.0467,0.3324,-0.4826,6.9149,2.019,0.6898,6,N
0.4575,-0.4496,0.355,0.1359,2.7315,0.1351,0.6116,5,P
-0.2159,-0.13,-0.3235,0.2771,8.4987,1.369,0.6529,5,N
0.0057,0.0708,0.4382,-0.3949,0.3145,2.105,0.3107,6,P
-0.3089,-0.4173,0.2542,0.1175,1.2328,0.6522,0.2441,6,P
-0.1124,-0.2407,-0.1767,-0.225,0.1268,1.9252,0.8396,5,P
-0.2689,-0.3787,-0.3125,-0.4803,3.0644,1.0473,0.8509,5,P
0.45,-0.1541,0.1118,-0.1153,1.2958,11.6264,0.5301,8,N
-0.2594,-0.1787,-0.4359,-0.4883,4.099,0.3884,0.6863,6,P
-0.1532,0.2839,-0.3992,-0.3819,0.8825,5.6517,0.1677,8,N
0.0854,0.4146,0.3599,0.0831,0.1992,1.3766,0.7521,5,P
-0.1004,0.2371,0.2392,0.0229,2.4568,0.2607,0.1694,8,P
0.1682,0.1227,0.2185,0.0914,0.3743,1.0802,0.4195,6,P
0.0006,-0.4279,-0.15,-0.1308,0.6317,3.5405,0.8564,6,P
-0.4515,-0.3274,0.0133,-0.1709,2.8424,2.7425,0.6787,6,P
-0.164,-0.1835,0.1696,0.2653,2.5054,1.7316,0.8128,7,P
0.3075,0.0239,0.2063,0.1068,1.1843,3.0228,0.4014,8,P
-0.0214,0.4318,-0.4731,0.1186,4.5294,7.1549,0.2341,6,N
-0.4475,0.2789,-0.2972,0.1104,0.399,17.8498,0.4109,6,N
-0.005,0.3241,0.0948,0.2163,7.0653,0.316,0.3612,6,N
0.3881,0.2584,0.3839,-0.2974,3.4257,1.8661,0.7975,7,P
-0.4292,-0.0691,0.4214,-0.0404,1.3696,1.086,0.8038,8,P
-0.4163,-0.208,0.1546,0.0523,1.7879,2.5517,0.7047,8,P
0.3847,-0.0463,0.4811,0.1241,4.6947,4.8607,0.8611,5,N
-0.1561,0.1613,0.4355,-0.1304,1.6179,4.5327,0.8824,8,P
0.4386,-0.2048,-0.2909,-0.1517,0.9432,3.2318,0.8252,8,P
-0.2448,0.1746,0.4243,-0.3661,11.5195,1.1486,0.7168,7,N
-0.1251,0.3639,0.4907,0.1605,4.1016,3.1673,0.8389,8,N
0.302,0.3012,-0.2768,0.3543,1.1243,0.7761,0.2197,8,P
0.4951,-0.1434,0.4793,0.0257,13.2437,2.4082,0.3505,8,N
-0.1862,0.3835,0.3972,-0.0043,2.3813,1.0793,0.666,6,P
-0.0079,-0.428,0.2667,0.154,0.3003,2.5471,0.3903,5,P
0.0826,-0.3701,0.3783,-0.3501,0.6537,2.2553,0.7941,5,P
-0.0586,-0.3869,0.3652,0.4624,4.1278,1.1426,0.8496,8,P
0.3055,-0.2871,0.1312,0.1634,1.1989,0.4534,0.7216,6,P
0.0473,0.3096,0.1173,-0.1435,0.7735,0.0532,0.9306,7,P
0.2574,-0.2251,-0.0915,-0.2879,7.0523,3.7969,0.3957,7,N
0.2864,0.2279,-0.3522,0.3267,5.5866,9.4075,0.5107,8,N
0.0225,-0.4287,-0.3567,0.3813,0.1476,5.3045,0.8315,5,N
-0.1269,0.2792,-0.0764,0.3496,0.0075,2.7426,0.7079,7,P
0.0321,0.138,0.0558,0.2938,2.9965,6.7157,0.7955,6,N
0.0747,-0.0439,-0.0387,-0.3505,0.1353,3.1977,0.3059,5,P
-0.2559,0.3544,0.2139,-0.0965,0.328,5.4116,0.8292,7,P
-0.3658,0.2238,0.2141,0.2131,0.1418,2.0864,0.371,8,P
-0.2057,-0.3486,-0.2181,0.4225,0.4267,2.0926,0.6906,7,P
-0.3412,0.3148,0.3962,-0.0422,3.7984,0.2588,0.6964,5,P
-0.3923,-0.3631,-0.2207,-0.274,1.3919,1.3524,0.5585,5,P
-0.1436,0.3761,-0.0407,-0.0272,2.3322,1.3245,0.833,8,P
0.2965,0.1056,0.0074,-0.1673,2.8925,5.7259,0.572,5,N
-0.1492,-0.1457,0.4704,-0.3218,15.6177,0.0431,0.4656,8,N
0.4296,-0.1066,-0.4255,0.0689,0.6935,0.7727,0.6331,5,P
0.2495,0.0534,-0.1184,0.301,5.5959,3.3557,0.9341,7,N
-0.326,0.155,0.3104,-0.2274,4.2405,5.9376,0.5771,5,N
-0.4953,0.4003,-0.1301,-0.1127,0.2613,1.7598,0.4772,7,P
-0.3649,-0.351,0.3129,0.055,3.3679,8.7519,0.5933,8,N
0.2312,0.3497,-0.1681,-0.3769,0.0668,4.2741,0.4061,6,N
-0.4438,0.4233,-0.0925,0.1626,2.7345,0.0266,0.852,7,P
0.0326,-0.3531,0.0986,-0.0501,9.4997,1.8079,0.3736,7,N
0.2503,0.1478,0.0528,-0.4316,0.0023,8.8251,0.6104,7,N
0.3784,0.1642,-0.016,-0.1357,1.8494,3.7507,0.9464,6,P
0.3078,-0.3044,0.292,-0.0932,3.8232,1.1427,0.2528,7,P
-0.2312,0.1045,0.1632,0.1032,1.3241,0.7414,0.7754,7,P
-0.0206,-0.146,0.329,0.1824,6.7587,6.3937,0.5791,6,N
-0.3789,-0.1746,0.3634,0.4142,4.6236,0.3765,0.2666,8,N
0.2981,-0.0576,0.2419,-0.3985,0.374,1.5707,0.5897,7,P
0.3947,0.0902,0.0502,0.1177,0.3678,7.7849,0.6466,6,N
0.0942,-0.4623,0.2357,-0.0248,4.3112,1.4558,0.3027,5,P
0.0787,-0.4856,0.4246,0.0307,6.8913,2.4447,0.4798,8,N
-0.1219,-0.0297,0.3235,-0.0808,6.8832,3.126,0.7408,7,N
-0.2708,0.0845,-0.3506,-0.0607,2.8798,0.1971,0.6343,7,P
-0.4603,-0.4626,0.3102,-0.049,7.7763,0.1308,0.8445,6,P
0.222,0.2247,-0.1939,-0.3934,0.2897,0.9296,0.7939,5,P
0.2254,0.0164,-0.2818,-0.2755,0.8322,4.0494,0.5631,6,N
0.0292,-0.1995,0.3036,-0.3289,3.5128,6.5195,0.7542,7,N
0.4373,-0.3286,0.4503,0.4687,1.3833,0.7222,0.4555,7,P
0.4701,0.0589,0.4205,0.1188,8.2922,0.2761,0.6711,7,N
-0.2788,0.3476,-0.3226,-0.1236,4.6664,2.7932,0.578,8,N
0.3776,-0.2523,-0.1444,0.0273,4.6619,12.1523,0.8325,7,N
-0.4236,0.4836,0.1409,-0.1015,12.2088,1.6853,0.4621,8,N
-0.1917,-0.389,-0.0374,0.367,1.4159,0.1786,0.9549,7,P
0.3965,0.0131,0.1396,-0.1572,0.6669,3.0255,0.7916,5,P
0.1199,-0.4416,0.494,-0.113,4.5425,2.5081,0.7492,6,P
0.0719,0.0019,0.334,-0.0711,0.8069,5.5036,0.188,8,P
0.4907,0.3186,0.1843,0.3537,3.0957,4.668,0.5651,7,N
-0.2537,0.1068,-0.3516,-0.1583,0.5954,15.8556,0.4018,8,N
0.0094,0.3134,-0.3015,-0.3085,0.6597,4.8154,0.5759,6,N
0.0393,-0.4716,0.2546,0.0271,0.7118,0.4259,0.6206,7,P
-0.2075,-0.0897,0.181,0.0601,1.0972,2.2204,0.2611,7,P
-0.0857,0.4537,-0.298,-0.1275,2.5054,3.2619,0.7627,7,P
0.2526,-0.2163,0.3815,0.2638,0.9558,1.6343,0.3869,5,P
0.4405,-0.4922,-0.0179,0.1404,3.3794,8.2165,0.7607,6,N
-0.3441,0.1711,-0.0085,-0.3292,4.4476,0.9882,0.7163,5,P
0.4808,-0.4361,0.2357,0.0562,0.6281,5.9258,0.5038,8,N
0.0284,-0.1738,0.1142,0.4642,1.5346,3.3061,0.8823,5,P
0.4986,-0.0351,-0.2502,0.0539,14.839,0.0421,0.6246,8,N
0.2675,-0.3757,-0.1071,0.407,6.4676,1.6702,0.7117,5,N
-0.0449,0.0551,0.0944,0.1064,0.6885,1.99,0.8619,8,P
-0.0079,0.2566,-0.4239,0.4989,1.048,2.8191,0.5693,5,P
0.2047,-0.0286,-0.0007,-0.3897,0.547,5.9614,0.7667,7,P
0.4865,-0.1514,0.352,-0.472,1.3763,4.0512,0.5598,8,N
0.0458,-0.2333,0.2195,-0.1968,1.4609,7.986,0.8196,6,N
0.03,-0.0559,0.1531,0.1867,2.6797,4.7146,0.6834,7,N
0.1745,-0.4324,0.2219,-0.2336,1.7916,2.0553,0.4077,5,P
0.3278,0.0362,-0.4639,0.0857,1.0395,3.6661,0.6967,6,P
0.0786,-0.0495,0.109,0.2013,1.3746,4.2001,0.0611,8,P
0.3364,0.4616,0.0682,-0.014,0.7022,8.1789,0.6264,6,N
0.1695,-0.1534,0.3741,-0.4136,1.1467,2.6765,0.9374,5,P
-0.2445,0.4522,0.1611,0.193,1.2336,8.3746,0.1472,7,N
0.1402,0.4682,0.0557,0.4443,1.1109,2.1883,0.4869,5,P
0.4202,0.261,0.1862,0.0189,8.7594,1.2304,0.6637,5,N
0.359,-0.4157,0.2068,0.274,13.2474,0.0436,0.9534,8,N
-0.3448,-0.1403,0.241,-0.3189,0.8111,17.5911,0.3289,8,N
-0.4718,0.0138,-0.4516,-0.0777,1.6432,1.2147,0.5231,8,P
0.3057,0.0597,-0.1838,0.0054,1.4983,2.5606,0.6645,7,P
-0.441,-0.3789,0.4693,0.2149,1.1976,1.8859,0.5561,7,P
0.2537,-0.3346,0.2651,0.3262,4.4524,0.6328,0.646,6,P
-0.1234,-0.2889,0.1028,-0.267,3.2498,1.7384,0.6044,7,P
0.2416,-0.0931,-0.0518,-0.2564,3.2374,0.7113,0.4406,7,P
-0.0514,-0.2518,0.2563,-0.2135,2.0534,1.6783,0.7138,5,P
-0.4164,-0.0537,0.314,-0.3777,0.9679,2.7806,0.7106,7,P
-0.1628,0.4753,-0.4537,-0.3024,10.7587,12.7541,0.4316,5,N
0.2754,0.4313,0.223,-0.4594,0.2642,0.6171,0.2569,5,P
0.2995,0.1923,-0.3971,0.3677,4.4822,3.2056,0.5355,7,N
-0.2275,-0.4288,-0.0846,0.2762,0.363,4.4903,0.7263,7,P
-0.0946,0.0249,0.2092,0.1348,0.3869,0.1391,0.8302,7,P
-0.2431,-0.1822,-0.1136,-0.3313,0.3761,0.3166,0.3856,6,P
0.014,0.3695,-0.2536,-0.4094,7.4259,0.195,0.8651,7,N
-0.2577,-0.0036,0.1275,0.2718,2.5882,0.8805,0.6226,6,P
0.2243,0.399,0.3533,-0.42,1.7245,0.3462,0.3459,8,P
-0.315,0.3182,0.1376,0.2684,0.0857,5.3556,0.8426,5,P
-0.2546,0.1683,0.0097,-0.0741,0.8612,1.3076,0.5258,5,P
0.0404,0.4356,-0.156,0.2674,0.2537,1.9154,0.593,8,P
-0.0477,0.4127,0.196,-0.138,1.8936,1.7056,0.7212,7,P
-0.1145,0.2623,0.4386,-0.1581,0.6128,1.2325,0.8023,6,P
-0.1182,0.4773,0.3582,0.381,1.1453,0.1285,0.1672,7,P
-0.4192,-0.463,-0.304,0.2214,0.9538,1.3753,0.7983,7,P
0.4444,-0.4316,0.1446,0.0858,0.0285,5.7245,0.2046,5,N
-0.4837,0.2337,0.167,-0.3343,13.726,5.3444,0.8429,8,N
