Sex,Length,Height,Whole.weight,binaryClass
M,0.55,0.145,0.843,N
M,0.53,0.16,0.883,N
M,0.53,0.14,0.724,N
M,0.605,0.16,1.1735,N
F,0.52,0.155,0.727,N
F,0.545,0.165,0.802,N
F,0.5,0.125,0.6675,N
F,0.51,0.135,0.6335,P
F,0.435,0.105,0.3635,P
M,0.495,0.125,0.5415,P
M,0.465,0.105,0.431,P
I,0.435,0.08,0.3325,P
M,0.425,0.105,0.393,P
F,0.545,0.125,0.6935,N
F,0.53,0.115,0.5915,N
F,0.49,0.135,0.6125,N
M,0.44,0.105,0.402,N
F,0.56,0.15,0.8825,P
M,0.405,0.085,0.2605,P
F,0.47,0.105,0.4205,P
I,0.385,0.085,0.2535,P
F,0.515,0.14,0.766,N
M,0.37,0.075,0.214,P
I,0.36,0.08,0.1755,P
I,0.27,0.06,0.073,P
I,0.375,0.09,0.238,P
I,0.385,0.085,0.2505,P
M,0.7,0.16,1.7255,N
M,0.71,0.165,1.959,N
M,0.595,0.165,1.262,N
F,0.44,0.125,0.4035,P
F,0.325,0.09,0.1915,P
I,0.35,0.095,0.211,P
I,0.265,0.065,0.0975,P
F,0.425,0.115,0.406,P
F,0.305,0.08,0.156,P
M,0.345,0.09,0.2005,P
F,0.405,0.11,0.3555,P
M,0.375,0.095,0.253,P
F,0.565,0.155,0.826,N
F,0.55,0.145,0.741,N
M,0.65,0.19,1.3445,N
M,0.56,0.155,0.797,N
M,0.475,0.13,0.5175,N
F,0.49,0.125,0.549,N
M,0.46,0.12,0.515,N
I,0.28,0.08,0.127,P
I,0.175,0.055,0.0315,P
I,0.17,0.095,0.03,P
M,0.59,0.145,1.053,N
F,0.605,0.185,1.1185,P
F,0.635,0.19,1.3715,N
F,0.605,0.16,1.0565,N
F,0.565,0.135,0.9885,N
M,0.515,0.13,0.722,N
F,0.575,0.19,0.994,N
M,0.645,0.215,1.514,N
F,0.58,0.17,0.9075,N
F,0.575,0.165,1.124,N
M,0.605,0.165,1.056,N
F,0.605,0.16,1.222,N
M,0.61,0.175,1.2445,N
F,0.725,0.21,2.141,N
F,0.65,0.23,1.752,N
M,0.725,0.19,2.55,N
F,0.725,0.175,2.124,N
F,0.68,0.205,1.842,N
M,0.705,0.22,1.981,N
F,0.68,0.175,1.6185,N
M,0.695,0.215,1.9565,N
F,0.53,0.145,0.775,P
M,0.525,0.155,1.065,P
F,0.52,0.115,0.776,P
I,0.235,0.04,0.048,P
I,0.36,0.09,0.1785,P
I,0.315,0.06,0.125,P
I,0.315,0.085,0.1435,P
I,0.225,0.045,0.0465,P
M,0.58,0.15,0.97,N
M,0.57,0.18,0.9395,N
M,0.64,0.175,1.368,N
F,0.56,0.16,1.0235,N
F,0.62,0.175,1.0165,N
F,0.645,0.2,1.5675,N
M,0.62,0.19,1.218,N
F,0.63,0.15,1.0525,N
F,0.63,0.185,1.383,N
F,0.63,0.16,1.199,N
F,0.585,0.17,0.9325,P
M,0.615,0.18,1.1595,N
M,0.61,0.17,1.0225,N
M,0.58,0.15,0.927,N
I,0.355,0.085,0.22,P
F,0.51,0.14,0.8145,N
M,0.5,0.155,0.772,N
F,0.505,0.15,0.644,N
M,0.64,0.185,1.3035,N
M,0.56,0.16,0.922,N
M,0.585,0.185,0.922,N
F,0.45,0.12,0.4165,P
M,0.5,0.165,0.825,N
F,0.5,0.145,0.63,N
F,0.53,0.17,0.8155,N
M,0.42,0.115,0.369,P
F,0.44,0.14,0.482,P
I,0.4,0.11,0.315,P
I,0.435,0.11,0.3795,P
F,0.525,0.17,0.8325,N
I,0.37,0.095,0.2655,P
F,0.49,0.145,0.6345,N
M,0.335,0.09,0.181,P
F,0.415,0.105,0.38,N
M,0.5,0.14,0.6155,P
F,0.485,0.16,0.66,N
M,0.55,0.14,0.8025,N
M,0.45,0.13,0.46,P
I,0.405,0.12,0.324,P
M,0.47,0.135,0.501,N
F,0.415,0.13,0.32,P
F,0.445,0.125,0.455,P
F,0.47,0.145,0.5175,N
F,0.49,0.15,0.5755,P
F,0.445,0.15,0.485,N
I,0.425,0.105,0.3265,N
F,0.5,0.135,0.45,P
F,0.39,0.125,0.3055,P
I,0.365,0.085,0.205,P
F,0.58,0.165,1.1015,N
F,0.53,0.16,0.783,N
M,0.555,0.135,0.836,N
M,0.565,0.175,0.9025,N
M,0.625,0.215,1.4455,N
I,0.275,0.075,0.1155,P
I,0.44,0.135,0.435,N
I,0.295,0.08,0.124,P
I,0.075,0.01,0.002,P
I,0.13,0.03,0.013,P
I,0.11,0.03,0.008,P
I,0.16,0.035,0.021,P
M,0.565,0.16,0.9425,N
I,0.27,0.07,0.1,P
I,0.23,0.065,0.0645,P
I,0.3,0.08,0.1275,P
I,0.33,0.085,0.1655,P
I,0.35,0.085,0.174,N
I,0.32,0.08,0.1585,N
I,0.36,0.085,0.1975,P
I,0.305,0.075,0.156,P
I,0.345,0.11,0.2135,P
I,0.33,0.105,0.1715,P
M,0.59,0.18,1.1235,N
F,0.595,0.155,1.0605,N
F,0.575,0.185,1.094,N
M,0.6,0.165,1.2415,N
M,0.56,0.175,1.011,N
M,0.56,0.185,1.07,N
M,0.545,0.16,0.8975,N
F,0.635,0.17,1.415,N
F,0.59,0.16,1.1015,N
F,0.54,0.155,0.928,N
F,0.57,0.125,0.865,N
M,0.53,0.165,0.8945,N
I,0.245,0.06,0.095,P
M,0.27,0.08,0.1205,P
F,0.46,0.13,0.639,N
M,0.52,0.15,0.895,N
M,0.35,0.11,0.2925,P
M,0.47,0.15,0.6355,P
F,0.45,0.125,0.4995,N
F,0.64,0.215,1.779,N
M,0.59,0.2,1.187,N
M,0.62,0.205,1.219,N
M,0.63,0.225,1.525,N
M,0.63,0.155,1.259,N
M,0.655,0.215,1.844,N
F,0.66,0.185,1.3485,N
M,0.61,0.24,1.642,N
M,0.635,0.205,1.484,N
F,0.515,0.135,0.712,N
F,0.535,0.185,0.8415,N
I,0.36,0.105,0.2415,P
F,0.455,0.12,0.4495,P
M,0.485,0.14,0.6295,N
M,0.515,0.175,0.9565,N
F,0.535,0.17,0.879,N
M,0.53,0.155,0.699,N
F,0.495,0.155,0.6445,N
M,0.44,0.125,0.4775,P
F,0.535,0.16,0.8105,N
M,0.54,0.18,0.996,N
F,0.565,0.21,1.2765,N
M,0.61,0.165,1.116,N
F,0.565,0.175,1.013,N
M,0.6,0.195,1.0575,N
I,0.295,0.085,0.128,P
I,0.275,0.075,0.1105,P
I,0.28,0.085,0.1065,P
M,0.49,0.14,0.549,N
M,0.37,0.105,0.234,P
F,0.405,0.095,0.3485,P
F,0.54,0.175,0.892,N
M,0.37,0.1,0.252,P
M,0.36,0.1,0.217,P
F,0.47,0.13,0.472,N
I,0.2,0.06,0.037,P
I,0.165,0.03,0.0215,P
M,0.645,0.24,1.5415,N
M,0.55,0.125,0.7605,N
M,0.57,0.145,0.9055,N
F,0.63,0.19,1.2435,N
M,0.56,0.14,0.971,N
M,0.595,0.195,1.3305,N
F,0.62,0.2,1.2255,N
M,0.63,0.175,1.3,N
I,0.45,0.11,0.4585,P
F,0.635,0.19,1.242,N
M,0.45,0.1,0.3675,N
F,0.58,0.155,0.8365,N
I,0.33,0.095,0.172,P
I,0.265,0.06,0.0965,P
I,0.19,0.04,0.038,P
M,0.385,0.1,0.2845,N
I,0.265,0.07,0.1055,P
M,0.335,0.105,0.222,P
I,0.355,0.09,0.251,P
I,0.32,0.1,0.1755,P
M,0.51,0.13,0.6435,N
M,0.36,0.105,0.241,P
I,0.36,0.09,0.2255,P
M,0.5,0.155,0.5955,N
F,0.4,0.12,0.3185,P
I,0.3,0.08,0.121,P
I,0.235,0.04,0.0705,P
F,0.74,0.195,1.974,N
M,0.62,0.19,1.3415,N
M,0.6,0.19,1.0875,N
M,0.59,0.185,1.283,N
M,0.62,0.185,1.325,N
F,0.565,0.195,1.0035,N
M,0.575,0.145,1.165,N
F,0.62,0.205,1.3475,N
M,0.62,0.185,1.274,N
F,0.505,0.18,0.568,N
F,0.46,0.155,0.746,P
M,0.49,0.14,0.707,N
F,0.525,0.16,0.756,P
I,0.34,0.08,0.2,P
I,0.375,0.115,0.2715,P
M,0.61,0.15,1.2,N
F,0.61,0.185,1.153,P
F,0.585,0.17,0.8685,N
M,0.57,0.14,0.9535,N
M,0.58,0.17,0.93,P
M,0.635,0.17,1.275,N
M,0.7,0.205,2.13,N
M,0.675,0.185,1.587,N
F,0.645,0.19,1.8085,N
M,0.745,0.215,2.499,N
F,0.685,0.18,1.768,N
M,0.605,0.18,1.227,N
F,0.59,0.15,0.997,N
F,0.65,0.175,1.4225,N
F,0.6,0.15,1.029,N
F,0.62,0.175,1.186,N
M,0.63,0.16,1.016,N
M,0.58,0.145,0.887,N
F,0.58,0.12,1.0735,N
M,0.63,0.18,1.13,N
F,0.69,0.215,1.719,N
F,0.65,0.165,1.566,N
F,0.66,0.195,1.7605,N
F,0.68,0.2,1.787,N
F,0.7,0.17,1.31,N
M,0.685,0.15,1.343,N
F,0.675,0.195,1.7345,N
M,0.63,0.19,1.1775,N
F,0.585,0.16,1.077,N
M,0.565,0.175,0.995,N
F,0.61,0.185,1.1085,N
M,0.605,0.18,1.1405,N
M,0.535,0.145,0.791,N
M,0.485,0.135,0.663,N
M,0.47,0.12,0.5565,N
M,0.545,0.135,0.8445,N
F,0.455,0.105,0.4925,P
M,0.54,0.155,0.7385,N
M,0.46,0.135,0.482,N
M,0.49,0.125,0.609,N
I,0.465,0.12,0.471,P
I,0.415,0.1,0.3215,N
M,0.475,0.125,0.593,N
F,0.47,0.125,0.5615,N
I,0.365,0.095,0.25,P
I,0.345,0.095,0.1995,P
I,0.39,0.1,0.302,N
F,0.5,0.14,0.7155,N
M,0.47,0.145,0.5865,P
M,0.535,0.15,0.6765,N
M,0.585,0.15,0.987,N
F,0.485,0.12,0.5885,P
M,0.515,0.135,0.7225,P
F,0.435,0.11,0.4335,P
F,0.515,0.14,0.6935,N
I,0.44,0.12,0.365,P
F,0.525,0.15,0.8425,N
M,0.45,0.115,0.479,P
M,0.59,0.12,0.911,N
M,0.555,0.145,0.915,N
M,0.57,0.095,0.827,P
M,0.59,0.165,1.1045,N
M,0.585,0.12,0.945,N
F,0.58,0.12,0.9935,N
M,0.545,0.12,0.8565,N
F,0.605,0.17,1.2385,N
F,0.62,0.14,1.0325,N
F,0.63,0.17,1.3135,N
M,0.63,0.165,1.352,N
F,0.63,0.155,1.005,N
M,0.545,0.14,0.625,N
F,0.67,0.165,1.5015,N
I,0.49,0.12,0.529,N
F,0.49,0.135,0.5785,N
I,0.29,0.07,0.101,P
I,0.26,0.07,0.092,P
M,0.58,0.175,1.068,N
F,0.61,0.165,1.0915,N
M,0.6,0.16,1.015,N
F,0.56,0.125,0.943,N
F,0.575,0.17,1.0475,N
F,0.57,0.175,0.9555,N
M,0.6,0.155,1.036,N
M,0.565,0.17,0.9065,N
M,0.545,0.14,0.7505,N
I,0.44,0.1,0.366,N
M,0.5,0.15,0.662,N
I,0.36,0.095,0.217,P
I,0.385,0.095,0.252,N
M,0.39,0.09,0.3055,P
M,0.5,0.165,0.6885,N
I,0.36,0.11,0.2335,N
I,0.335,0.1,0.192,P
F,0.505,0.14,0.85,N
I,0.395,0.1,0.2715,N
F,0.41,0.105,0.3635,N
F,0.56,0.19,0.714,P
M,0.565,0.185,0.9815,N
M,0.565,0.185,0.9265,N
M,0.605,0.175,1.098,N
F,0.565,0.15,0.8205,N
M,0.725,0.215,1.891,N
F,0.675,0.16,1.41,N
F,0.665,0.195,1.4385,N
F,0.565,0.155,0.9245,N
F,0.645,0.175,1.2915,N
M,0.575,0.14,0.8375,N
F,0.64,0.175,1.221,N
I,0.36,0.105,0.199,P
I,0.415,0.11,0.2965,N
F,0.525,0.135,0.7085,N
M,0.38,0.1,0.2665,N
F,0.585,0.17,0.9915,N
I,0.24,0.07,0.0715,P
I,0.22,0.055,0.0545,P
I,0.255,0.07,0.0735,P
I,0.175,0.05,0.0235,P
F,0.67,0.19,1.3905,N
M,0.655,0.195,1.388,N
F,0.68,0.21,1.7445,N
M,0.675,0.2,1.4385,N
F,0.53,0.135,0.7835,P
F,0.515,0.12,0.646,N
I,0.43,0.12,0.3575,P
F,0.52,0.12,0.627,N
F,0.545,0.16,0.7715,N
M,0.53,0.175,0.7395,N
F,0.465,0.115,0.421,P
M,0.665,0.175,1.347,N
M,0.735,0.225,1.756,N
M,0.66,0.185,1.32,N
F,0.7,0.185,1.8075,N
M,0.575,0.155,0.9325,N
M,0.57,0.125,0.849,N
F,0.58,0.15,0.9955,N
M,0.63,0.145,1.0115,N
F,0.585,0.14,0.908,N
M,0.55,0.13,0.92,N
F,0.625,0.15,1.2415,N
M,0.54,0.135,0.8075,N
F,0.57,0.165,1.0595,N
M,0.59,0.145,1.073,N
M,0.58,0.13,0.921,N
F,0.655,0.155,1.2895,N
M,0.655,0.175,1.2635,N
M,0.625,0.195,1.369,N
F,0.625,0.15,0.953,N
F,0.64,0.175,1.248,N
F,0.605,0.165,1.0105,N
F,0.615,0.155,1.0385,N
M,0.555,0.175,0.874,N
F,0.58,0.18,0.854,N
F,0.62,0.225,1.1835,N
F,0.62,0.225,1.115,N
F,0.6,0.19,1.129,N
F,0.625,0.19,1.1745,N
M,0.6,0.175,1.105,N
M,0.56,0.235,0.8395,N
M,0.585,0.225,1.055,N
M,0.56,0.18,0.889,N
I,0.56,0.155,0.8735,N
I,0.68,0.185,1.1095,N
F,0.455,0.14,0.5185,N
F,0.49,0.145,0.6725,N
M,0.31,0.085,0.146,P
F,0.275,0.07,0.08,P
M,0.27,0.08,0.1,P
M,0.4,0.115,0.2795,P
M,0.28,0.08,0.0915,P
M,0.325,0.09,0.147,P
F,0.345,0.09,0.203,P
M,0.21,0.05,0.0385,P
F,0.36,0.09,0.1885,P
I,0.365,0.115,0.218,P
M,0.2,0.055,0.035,P
M,0.235,0.06,0.0545,P
M,0.175,0.04,0.024,P
M,0.155,0.04,0.0155,P
F,0.57,0.155,0.733,N
F,0.57,0.16,0.9715,N
M,0.385,0.095,0.24,P
I,0.53,0.185,0.752,N
F,0.46,0.13,0.458,N
I,0.47,0.12,0.4705,N
F,0.435,0.11,0.38,P
I,0.47,0.14,0.4985,N
I,0.465,0.13,0.454,N
I,0.52,0.14,0.5775,N
M,0.29,0.075,0.1165,P
M,0.275,0.07,0.094,P
F,0.375,0.115,0.2705,N
F,0.5,0.14,0.604,N
F,0.44,0.115,0.415,N
M,0.42,0.115,0.2885,N
M,0.445,0.115,0.3615,P
F,0.38,0.105,0.257,N
M,0.32,0.075,0.1555,N
M,0.255,0.065,0.08,P
M,0.205,0.045,0.0425,P
F,0.565,0.16,0.795,N
I,0.555,0.18,0.875,N
I,0.65,0.16,1.1625,N
I,0.615,0.155,0.9885,N
I,0.56,0.165,0.8,N
I,0.48,0.12,0.514,N
I,0.485,0.125,0.591,P
I,0.5,0.15,0.6265,N
I,0.525,0.15,0.795,N
F,0.66,0.165,1.1905,N
F,0.66,0.17,1.326,N
I,0.52,0.145,0.66,N
F,0.44,0.105,0.364,P
I,0.515,0.12,0.659,N
F,0.475,0.115,0.452,N
F,0.545,0.15,0.7335,N
F,0.47,0.13,0.5465,N
M,0.35,0.065,0.179,N
I,0.485,0.13,0.581,N
I,0.435,0.125,0.406,N
M,0.28,0.08,0.1085,P
F,0.41,0.115,0.387,N
I,0.45,0.14,0.474,N
I,0.45,0.135,0.443,N
F,0.59,0.155,1.066,N
F,0.57,0.14,0.9535,N
I,0.61,0.15,0.9665,N
F,0.61,0.14,1.133,N
I,0.56,0.14,0.9175,N
F,0.585,0.175,0.982,N
I,0.58,0.15,0.8865,N
F,0.63,0.175,1.3675,N
F,0.625,0.175,1.233,N
I,0.55,0.15,0.806,N
F,0.645,0.19,1.4635,N
I,0.46,0.14,0.4935,N
F,0.41,0.1,0.363,N
I,0.495,0.125,0.6655,N
I,0.52,0.17,0.6805,N
F,0.55,0.145,0.8285,N
M,0.45,0.14,0.4625,N
F,0.405,0.12,0.3095,N
I,0.51,0.15,0.745,N
F,0.37,0.115,0.25,P
I,0.525,0.175,0.874,N
F,0.66,0.18,1.514,N
M,0.535,0.15,0.6995,N
I,0.575,0.18,0.8525,N
F,0.55,0.14,0.7135,P
I,0.605,0.14,0.939,N
I,0.605,0.145,1.054,N
F,0.56,0.195,0.981,N
I,0.535,0.145,0.926,N
F,0.385,0.11,0.286,N
F,0.39,0.1,0.265,N
I,0.47,0.115,0.4885,N
I,0.515,0.14,0.5555,N
I,0.425,0.125,0.425,N
M,0.345,0.09,0.195,P
I,0.485,0.13,0.458,N
M,0.37,0.1,0.228,N
M,0.35,0.09,0.1775,N
F,0.44,0.17,0.4085,N
M,0.195,0.05,0.032,P
M,0.325,0.075,0.155,P
I,0.495,0.125,0.4775,N
I,0.45,0.145,0.525,N
M,0.415,0.135,0.3865,N
F,0.47,0.14,0.433,N
M,0.32,0.085,0.17,P
M,0.31,0.075,0.1295,P
M,0.235,0.055,0.0515,P
M,0.345,0.08,0.169,N
I,0.485,0.14,0.673,N
F,0.5,0.115,0.6785,N
F,0.5,0.105,0.498,N
I,0.465,0.105,0.498,N
F,0.525,0.16,0.658,N
F,0.425,0.095,0.322,N
F,0.38,0.095,0.2815,P
I,0.53,0.145,0.944,N
M,0.34,0.085,0.1835,N
I,0.475,0.115,0.49,P
F,0.43,0.12,0.391,P
M,0.46,0.125,0.467,N
I,0.47,0.13,0.5225,P
M,0.36,0.1,0.2105,P
M,0.355,0.09,0.168,P
M,0.38,0.1,0.258,P
M,0.355,0.085,0.1905,P
I,0.44,0.12,0.487,N
F,0.51,0.13,0.5735,N
M,0.325,0.085,0.173,P
I,0.62,0.18,1.1785,N
F,0.59,0.16,0.9,N
M,0.33,0.095,0.1875,P
M,0.45,0.13,0.3715,P
I,0.445,0.12,0.347,N
M,0.33,0.075,0.1145,P
M,0.48,0.145,0.777,P
I,0.46,0.12,0.4885,N
F,0.475,0.125,0.447,P
M,0.255,0.065,0.079,P
I,0.335,0.09,0.1665,P
I,0.47,0.13,0.466,N
M,0.31,0.08,0.1345,P
F,0.37,0.11,0.2305,N
M,0.295,0.075,0.129,P
F,0.555,0.165,0.97,N
F,0.615,0.17,1.14,N
I,0.58,0.195,1.3165,N
F,0.585,0.185,0.9585,N
I,0.65,0.18,1.626,N
I,0.535,0.17,0.781,N
F,0.415,0.13,0.3675,N
F,0.38,0.105,0.281,N
I,0.45,0.12,0.412,N
F,0.395,0.095,0.2245,N
M,0.455,0.12,0.4835,N
F,0.485,0.15,0.605,N
M,0.55,0.155,0.9175,N
F,0.45,0.145,0.5425,N
M,0.475,0.145,0.6175,N
F,0.5,0.155,0.655,N
F,0.53,0.165,0.8115,N
M,0.49,0.15,0.573,N
F,0.49,0.15,0.7865,N
F,0.52,0.18,0.64,N
M,0.54,0.145,0.74,N
F,0.5,0.115,0.5945,N
F,0.45,0.165,0.8165,N
F,0.37,0.1,0.2225,P
I,0.37,0.1,0.2295,P
M,0.485,0.14,0.5725,N
F,0.435,0.115,0.3915,P
M,0.535,0.185,0.8345,N
M,0.51,0.14,0.6515,N
M,0.565,0.185,0.909,N
F,0.535,0.15,0.8045,N
F,0.535,0.125,0.927,N
M,0.525,0.17,0.7305,N
M,0.59,0.15,0.9555,N
M,0.5,0.15,0.636,N
I,0.255,0.075,0.0865,P
F,0.43,0.115,0.3865,N
M,0.38,0.12,0.283,P
I,0.165,0.02,0.019,P
I,0.315,0.09,0.1285,P
I,0.155,0.05,0.0175,P
M,0.28,0.1,0.1165,P
F,0.43,0.12,0.444,N
F,0.395,0.105,0.3515,N
M,0.385,0.105,0.2905,N
F,0.48,0.135,0.536,N
F,0.445,0.105,0.4525,P
M,0.395,0.115,0.316,N
M,0.4,0.125,0.417,P
M,0.415,0.14,0.417,N
M,0.315,0.09,0.203,N
F,0.345,0.09,0.207,N
M,0.36,0.13,0.2765,N
I,0.295,0.09,0.1105,P
I,0.325,0.08,0.176,P
M,0.375,0.1,0.2465,N
I,0.28,0.055,0.1135,P
M,0.355,0.085,0.201,P
M,0.35,0.08,0.1915,P
I,0.275,0.065,0.1035,P
I,0.29,0.07,0.0975,P
I,0.25,0.06,0.0765,P
I,0.18,0.035,0.0265,P
I,0.15,0.025,0.015,P
I,0.16,0.025,0.018,P
M,0.555,0.16,1.0575,N
M,0.555,0.15,1.092,N
M,0.525,0.13,0.99,N
M,0.465,0.08,0.488,N
F,0.49,0.11,0.5005,N
M,0.4,0.085,0.297,N
F,0.48,0.105,0.525,N
M,0.505,0.125,0.77,N
F,0.52,0.12,0.6515,N
M,0.525,0.13,0.8295,N
M,0.545,0.13,0.879,N
M,0.52,0.12,0.823,N
M,0.505,0.13,0.656,N
M,0.525,0.12,0.8665,N
M,0.51,0.125,0.6565,N
M,0.52,0.115,0.669,N
F,0.52,0.125,0.6435,N
M,0.535,0.135,0.862,N
M,0.445,0.09,0.3795,N
M,0.53,0.205,0.835,N
F,0.36,0.09,0.2065,P
F,0.535,0.15,0.7365,N
F,0.52,0.14,0.8175,N
M,0.53,0.13,0.8425,N
F,0.53,0.13,1.001,N
F,0.66,0.2,1.676,N
M,0.52,0.14,0.6595,P
M,0.535,0.13,0.8055,N
M,0.695,0.175,1.5165,N
F,0.51,0.105,0.612,N
M,0.485,0.12,0.547,N
F,0.605,0.17,1.122,N
F,0.58,0.165,1.1365,N
M,0.65,0.175,1.4805,N
M,0.62,0.185,1.5275,N
M,0.615,0.155,1.1375,N
F,0.605,0.19,1.437,N
M,0.57,0.155,1.116,N
M,0.57,0.12,1.0615,N
M,0.585,0.15,1.2565,N
F,0.55,0.155,0.946,N
F,0.54,0.135,0.959,N
M,0.64,0.19,1.613,N
F,0.61,0.145,1.153,N
M,0.545,0.15,0.978,N
F,0.59,0.13,1.1325,N
M,0.345,0.095,0.197,P
F,0.55,0.155,0.785,N
F,0.53,0.17,0.949,N
F,0.53,0.165,0.9805,N
I,0.485,0.14,0.521,P
M,0.385,0.115,0.2685,P
M,0.455,0.135,0.462,P
M,0.49,0.14,0.7605,N
M,0.53,0.165,0.732,N
M,0.505,0.145,0.6775,N
M,0.49,0.14,0.6385,N
M,0.465,0.14,0.5755,N
F,0.47,0.145,0.537,N
M,0.56,0.165,0.93,N
M,0.505,0.15,0.6415,N
M,0.515,0.145,0.8815,N
I,0.385,0.125,0.244,P
I,0.215,0.06,0.0525,P
M,0.55,0.175,1.042,N
F,0.515,0.13,0.5755,P
M,0.495,0.135,0.709,N
F,0.505,0.16,0.644,P
F,0.6,0.165,0.8875,N
F,0.57,0.16,0.8935,N
F,0.485,0.135,0.556,N
M,0.47,0.18,0.51,P
M,0.575,0.165,0.9215,N
M,0.58,0.16,1.0345,N
M,0.515,0.145,0.695,N
M,0.53,0.155,0.7155,N
M,0.44,0.11,0.394,P
M,0.52,0.16,0.745,N
F,0.425,0.11,0.3665,N
M,0.46,0.135,0.495,N
M,0.45,0.125,0.349,N
M,0.425,0.13,0.4405,P
I,0.37,0.1,0.22,P
M,0.515,0.135,0.6615,N
M,0.405,0.12,0.3185,P
I,0.28,0.07,0.1015,P
F,0.48,0.125,0.759,N
F,0.44,0.13,0.4195,N
F,0.52,0.115,0.807,N
M,0.505,0.14,0.875,N
F,0.49,0.13,0.6835,N
I,0.235,0.055,0.067,P
I,0.255,0.06,0.088,P
I,0.315,0.085,0.1715,P
I,0.325,0.08,0.1735,P
I,0.335,0.08,0.183,P
I,0.35,0.09,0.2055,P
I,0.35,0.07,0.18,P
I,0.36,0.085,0.27,P
I,0.365,0.135,0.24,P
I,0.37,0.14,0.2215,P
I,0.38,0.095,0.1375,P
I,0.385,0.095,0.312,P
I,0.385,0.1,0.2895,P
I,0.395,0.095,0.319,P
I,0.395,0.095,0.304,P
I,0.4,0.1,0.306,P
I,0.41,0.1,0.394,P
I,0.415,0.11,0.3735,P
M,0.415,0.1,0.325,P
I,0.425,0.1,0.398,P
I,0.44,0.115,0.501,P
I,0.445,0.1,0.4895,P
I,0.445,0.1,0.378,P
I,0.45,0.13,0.547,P
M,0.47,0.12,0.5805,P
I,0.475,0.125,0.5465,P
F,0.48,0.135,0.6395,P
I,0.485,0.105,0.498,P
M,0.49,0.125,0.609,P
F,0.495,0.125,0.7555,P
M,0.5,0.125,0.5975,P
M,0.505,0.14,0.8275,P
M,0.525,0.13,0.7635,P
M,0.54,0.125,0.891,P
